row_label_raw,row_label_full,Phải trả người bán là các bên liên quan (xem thuyết minh IX.3),Giá trị > 46.900.354.816,Số có khả năng trả nợ > 46.900.354.816,Giá trị > 152.717.746.378,Số có khả năng trả nợ > 152.717.746.378,numeric__Giá trị > 46.900.354.816,numeric__Số có khả năng trả nợ > 46.900.354.816,numeric__Giá trị > 152.717.746.378,numeric__Số có khả năng trả nợ > 152.717.746.378
Công ty Cổ phần Xây dựng và Kết cấu Thép Đại Tín,Công ty Cổ phần Xây dựng và Kết cấu Thép Đại Tín,Công ty Cổ phần Xây dựng và Kết cấu Thép Đại Tín,30.277.425.019,30.277.425.019,28.328.785.207,28.328.785.207,30277425019.0,30277425019.0,28328785207.0,28328785207.0
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,29.822.847.834,29.822.847.834,131.355.595.526,131.355.595.526,29822847834.0,29822847834.0,131355595526.0,131355595526.0
Cộng,Cộng,Cộng,107.000.627.669,107.000.627.669,312.402.127.111,312.402.127.111,107000627669.0,107000627669.0,312402127111.0,312402127111.0
15. Người mua trả tiền trước ngắn hạn,15. Người mua trả tiền trước ngắn hạn,15. Người mua trả tiền trước ngắn hạn,15. Người mua trả tiền trước ngắn hạn,15. Người mua trả tiền trước ngắn hạn,31/12/2025,01/01/2025,,,,
Người mua trả tiền trước là các bên liên quan (xem thuyết minh IX.3),15. Người mua trả tiền trước ngắn hạn > Người mua trả tiền trước là các bên liên quan (xem thuyết minh IX.3),Người mua trả tiền trước là các bên liên quan (xem thuyết minh IX.3),Người mua trả tiền trước là các bên liên quan (xem thuyết minh IX.3),Người mua trả tiền trước là các bên liên quan (xem thuyết minh IX.3),181.512.924.515,459.033.449.797,,,181512924515.0,459033449797.0
Công ty Cổ phần Nội thất 68,15. Người mua trả tiền trước ngắn hạn > Công ty Cổ phần Nội thất 68,Công ty Cổ phần Nội thất 68,Công ty Cổ phần Nội thất 68,Công ty Cổ phần Nội thất 68,-,142.720.245.715,,,,142720245715.0
Công ty Cổ phần Xây dựng và Kết cấu thép Đại Tín (1),15. Người mua trả tiền trước ngắn hạn > Công ty Cổ phần Xây dựng và Kết cấu thép Đại Tín (1),Công ty Cổ phần Xây dựng và Kết cấu thép Đại Tín (1),Công ty Cổ phần Xây dựng và Kết cấu thép Đại Tín (1),Công ty Cổ phần Xây dựng và Kết cấu thép Đại Tín (1),127.300.000.000,57.000.000.000,,,127300000000.0,57000000000.0
Các khách hàng khác (2),15. Người mua trả tiền trước ngắn hạn > Các khách hàng khác (2),Các khách hàng khác (2),Các khách hàng khác (2),Các khách hàng khác (2),253.660.560.538,150.324.393.018,,,253660560538.0,150324393018.0
Cộng,15. Người mua trả tiền trước ngắn hạn > Cộng,Cộng,Cộng,Cộng,562.473.485.053,809.078.088.530,,,562473485053.0,809078088530.0
