row_label_raw,row_label_full,Bên liên quan,Bên liên quan_1,Mối quan hệ,numeric__Bên liên quan_1,numeric__Mối quan hệ
Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty con,,
Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty con,,
Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty con,,
Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty con,,
Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Công ty con,,
Công ty TNHH Thương Tín - CJ Cầu Tre,Công ty TNHH Thương Tín - CJ Cầu Tre,Công ty TNHH Thương Tín - CJ Cầu Tre,Công ty con (đang làm thủ tục giải thể ngày 14/11/2025),Công ty con (đang làm thủ tục giải thể ngày 14/11/2025),,
Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hùng Anh Năm,Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hùng Anh Năm,Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hùng Anh Năm,Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hùng Anh Năm,Công ty con,,
Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Công ty con,,
Công ty TNHH MTV TTC Land Retail Management,Công ty TNHH MTV TTC Land Retail Management,Công ty TNHH MTV TTC Land Retail Management,Công ty TNHH MTV TTC Land Retail Management,Công ty con (đã giải thể ngày 31/3/2025),,
Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Công ty con,,
,,,,Công ty liên kết trong Tập đoàn(đến ngày 17/12/2025),,
,,,,Công ty liên quan trong Tập đoàn(từ ngày 17/12/2025),,
Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty liên quan trong Tập đoàn(từ ngày 17/12/2025),,
Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông lớn,,
Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu công nghiệp Đặng Huỳnh,Cùng quản lý chủ chốt,,
Công ty Cổ phần Khu Công nghiệp Thành Thành Công,Công ty Cổ phần Khu Công nghiệp Thành Thành Công,Công ty Cổ phần Khu Công nghiệp Thành Thành Công,Công ty Cổ phần Khu Công nghiệp Thành Thành Công,Cùng quản lý chủ chốt,,
Công ty Cổ phần Đầu tư Hạ tầng Cụm công nghiệp Tân Hội,Công ty Cổ phần Đầu tư Hạ tầng Cụm công nghiệp Tân Hội,Công ty Cổ phần Đầu tư Hạ tầng Cụm công nghiệp Tân Hội,Công ty Cổ phần Đầu tư Hạ tầng Cụm công nghiệp Tân Hội,Cùng quản lý chủ chốt,,
Công ty Cổ phần Xây dựng Thương mại và Xuất nhập khẩu Thái Tôn,Công ty Cổ phần Xây dựng Thương mại và Xuất nhập khẩu Thái Tôn,Công ty Cổ phần Xây dựng Thương mại và Xuất nhập khẩu Thái Tôn,Công ty Cổ phần Xây dựng Thương mại và Xuất nhập khẩu Thái Tôn,Cùng quản lý chủ chốt,,
Công ty Cổ phần Công nghiệp Phụ trợ S&D,Công ty Cổ phần Công nghiệp Phụ trợ S&D,Công ty Cổ phần Công nghiệp Phụ trợ S&D,Công ty Cổ phần Công nghiệp Phụ trợ S&D,Cùng quản lý chủ chốt,,
Công ty Cổ phần Đầu tư Tín Nghĩa Á - Châu,Công ty Cổ phần Đầu tư Tín Nghĩa Á - Châu,Công ty Cổ phần Đầu tư Tín Nghĩa Á - Châu,Công ty Cổ phần Đầu tư Tín Nghĩa Á - Châu,Cùng quản lý chủ chốt,,
Công ty Cổ phần Thương Mại Thành Thành Công,Công ty Cổ phần Thương Mại Thành Thành Công,Công ty Cổ phần Thương Mại Thành Thành Công,Công ty Cổ phần Thương Mại Thành Thành Công,Cùng quản lý chủ chốt,,
Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Bên liên quan khác,,
Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,Bên liên quan khác,,
Ông Nguyễn Thành Chương,Ông Nguyễn Thành Chương,Ông Nguyễn Thành Chương,Ông Nguyễn Thành Chương,Chủ tịch HĐQT,,
Bà Huỳnh Bích Ngọc,Bà Huỳnh Bích Ngọc,Bà Huỳnh Bích Ngọc,Bà Huỳnh Bích Ngọc,Chủ tịch HĐQT trước đây,,
Ông Đăng Hồng Anh,Ông Đăng Hồng Anh,Ông Đăng Hồng Anh,Ông Đăng Hồng Anh,Phó Chủ tịch HĐQT (miễn nhiệm ngày 24/4/2025),,
Ông Trần Văn An,Ông Trần Văn An,Ông Trần Văn An,Ông Trần Văn An,Thành viên HĐQT (bổ nhiệm ngày 24/4/2025),,
Ông Nguyễn Thái Sơn,Ông Nguyễn Thái Sơn,Ông Nguyễn Thái Sơn,Ông Nguyễn Thái Sơn,Thành viên HĐQT (bổ nhiệm ngày 24/4/2025),,
Ông Nguyễn Văn Bình,Ông Nguyễn Văn Bình,Ông Nguyễn Văn Bình,Ông Nguyễn Văn Bình,Thành viên HĐQT không điều hành (bổ nhiệm ngày 24/4/2025),,
Ông Nguyễn Văn Hòa,Ông Nguyễn Văn Hòa,Ông Nguyễn Văn Hòa,Ông Nguyễn Văn Hòa,Thành viên độc lập (bổ nhiệm ngày 24/4/2025),,
