row_label_raw,row_label_full,Phải thu khác,col_1,31/12/2025,01/01/2025,numeric__col_1,numeric__31/12/2025,numeric__01/01/2025
Công ty Cổ phần Khai Thác Và Quản Lý KCN Đặng Huỳnh,Công ty Cổ phần Khai Thác Và Quản Lý KCN Đặng Huỳnh,Công ty Cổ phần Khai Thác Và Quản Lý KCN Đặng Huỳnh,Ký quỹ,-,1.868.933.000,,,1868933000.0
Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Chi hộ,476.961.640,1.912.192.444,,476961640.0,1912192444.0
Công ty Cổ phần Khu công nghiệp Thành Thành Công,Công ty Cổ phần Khu công nghiệp Thành Thành Công,Công ty Cổ phần Khu công nghiệp Thành Thành Công,Ký quỹ,256.253.750,-,,256253750.0,
Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Ký quỹ,2.850.000.000,-,,2850000000.0,
Công ty Cổ phần Đầu tư Tín Nghĩa Á Châu,Công ty Cổ phần Đầu tư Tín Nghĩa Á Châu,Công ty Cổ phần Đầu tư Tín Nghĩa Á Châu,Lãi cho vay,61.397.275,-,,61397275.0,
Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,Lãi cho vay,20.136.986,-,,20136986.0,
Cộng,Cộng,Cộng,,1.819.732.351.817,1.499.553.024.846,,1819732351817.0,1499553024846.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,,31/12/2025,01/01/2025,,,
Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng,Phải trả người bán > Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng,Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng,Nhận chuyển nhượng vốn,(3.807.043.097),(77.342.043.097),,-3807043097.0,-77342043097.0
Công ty Cổ phần Toàn Hải Vân,Phải trả người bán > Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Mua nhà phố thương mại,(27.868.616.757),(42.965.511.992),,-27868616757.0,-42965511992.0
Công ty Cổ phần Đầu tư Thành Thành Công,Phải trả người bán > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Mua dịch vụ,(1.570.326.480),(24.315.990.830),,-1570326480.0,-24315990830.0
Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Phải trả người bán > Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền,Mua hàng hóa và dịch vụ,(4.157.460.621),(4.172.460.621),,-4157460621.0,-4172460621.0
Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Phải trả người bán > Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Mua hàng hóa và dịch vụ,(2.731.150.806),(2.461.930.143),,-2731150806.0,-2461930143.0
Công ty Cổ phần Thương Tín Tàu Cuốc,Phải trả người bán > Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Mua hàng hóa và dịch vụ,(478.997.055),(1.043.154.695),,-478997055.0,-1043154695.0
Công ty Cổ phần Du Lịch Thành Thành Công,Phải trả người bán > Công ty Cổ phần Du Lịch Thành Thành Công,Công ty Cổ phần Du Lịch Thành Thành Công,Mua hàng hóa và dịch vụ,(9.000.000),(416.655.000),,-9000000.0,-416655000.0
Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Phải trả người bán > Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Mua hàng hóa và dịch vụ,(7.760.000),-,,-7760000.0,
Công ty Cổ phần Mai Lan,Phải trả người bán > Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Mua hàng hóa và dịch vụ,(6.270.000.000),-,,-6270000000.0,
Cộng,Phải trả người bán > Cộng,Cộng,,(46.900.354.816),(152.717.746.378),,-46900354816.0,-152717746378.0
