row_label_raw,row_label_full,Tên Công ty,Hoạt động chính,Tỷ lệ vốn góp,Tỷ lệ sở hữu,Tỷ lệ quyền biểu quyết,numeric__Hoạt động chính,numeric__Tỷ lệ vốn góp,numeric__Tỷ lệ sở hữu,numeric__Tỷ lệ quyền biểu quyết
Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Kinh doanh bất động sản,"100,00%","100,00%","100,00%",,1.0,1.0,1.0
Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Kinh doanh bất động sản,"99,89%","99,89%","99,89%",,0.9989,0.9989,0.9989
Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hùng Anh Năm,Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hùng Anh Năm,Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hùng Anh Năm,Kinh doanh bất động sản,"95,00%","95,00%","95,00%",,0.95,0.95,0.95
Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Kinh doanh bất động sản,"94,44%","94,44%","94,44%",,0.9444,0.9444,0.9444
Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Công ty Cổ phần Thương mại Nguyễn Kim Đà Nẵng,Bất động sản và dịch vụ thương mại,"96,30%","96,30%","96,30%",,0.963,0.963,0.963
Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Xây dựng và kinh doanh bất động sản,"82,07%","82,07%","82,07%",,0.8207,0.8207,0.8207
Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Dịch vụ,"65,20%","65,20%","65,20%",,0.652,0.652,0.652
Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền (*),Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền (*),Công ty Cổ phần Đầu tư Bất động sản TTC Land Hưng Điền (*),Kinh doanh bất động sản,"61,00%","61,00%","61,00%",,0.61,0.61,0.61
