row_label_raw,row_label_full,Trả trước cho người bán,Nội dung nghiệp vụ,31/12/2025,01/01/2025,numeric__Nội dung nghiệp vụ,numeric__31/12/2025,numeric__01/01/2025
Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Mua nhà phố,-,1.000.000.000,,,1000000000.0
Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Mua hàng và cung cấp dịch vụ,61.805.981.800,69.000.000.000,,61805981800.0,69000000000.0
Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Mua hàng và cung cấp dịch vụ,-,9.442.043.431,,,9442043431.0
Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Ứng trước tiền hữu chuyển nhượng cổ phần,499.042.825.056,2.974.941.281,,499042825056.0,2974941281.0
Bà Huỳnh Bích Ngọc,Bà Huỳnh Bích Ngọc,Bà Huỳnh Bích Ngọc,Mua hàng và cung cấp dịch vụ,-,1.911.437.500,,,1911437500.0
Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Mua hàng và cung cấp dịch vụ,1.977.645.477,-,,1977645477.0,
Cộng,Cộng,Cộng,,562.826.452.333,84.328.422.212,,562826452333.0,84328422212.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,,31/12/2025,01/01/2025,,,
Công ty Cổ phần May Tiến Phát,Phải thu về cho vay > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Cho vay,724.472.712.000,612.802.712.000,,724472712000.0,612802712000.0
Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Phải thu về cho vay > Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Cho vay,18.981.000.000,-,,18981000000.0,
Công ty Cổ phần Thương Tín Tàu Cuốc,Phải thu về cho vay > Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Cho vay,-,135.217.000.000,,,135217000000.0
Cộng,Phải thu về cho vay > Cộng,Cộng,,743.453.712.000,748.019.712.000,,743453712000.0,748019712000.0
Phải thu khác,Phải thu khác,Phải thu khác,,31/12/2025,01/01/2025,,,
Công ty Cổ phần Toàn Hải Vân,Phải thu khác > Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Góp vốn hợp tác kinh doanh,1.281.699.112.034,1.100.860.912.031,,1281699112034.0,1100860912031.0
Công ty Cổ phần May Tiến Phát,Phải thu khác > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Lãi cho vay,44.322.750.197,19.917.397.866,,44322750197.0,19917397866.0
Công ty Cổ phần May Tiến Phát,Phải thu khác > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Khác,933.500.700,933.500.700,,933500700.0,933500700.0
Công ty Cổ phần May Tiến Phát,Phải thu khác > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Góp vốn hợp tác kinh doanh,289.000.000.000,-,,289000000000.0,
Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng,Phải thu khác > Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng,Công ty Cổ phần Thương Mại Nguyễn Kim Đà Nẵng,Góp vốn hợp tác kinh doanh,-,180.000.000.000,,,180000000000.0
