row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2025,Dưới 1 năm,Từ 1-5 năm,Trên 5 năm,Tổng cộng,numeric__Dưới 1 năm,numeric__Từ 1-5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
Các khoản vay và nợ,Các khoản vay và nợ,Các khoản vay và nợ,1.154.572.772.830,1.115.459.680.662,834.263.000.000,3.104.295.453.492,1154572772830.0,1115459680662.0,834263000000.0,3104295453492.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,107.000.627.669,-,-,107.000.627.669,107000627669.0,,,107000627669.0
"Các khoản phải trả, phải nộp khác và chi phí phải trả","Các khoản phải trả, phải nộp khác và chi phí phải trả","Các khoản phải trả, phải nộp khác và chi phí phải trả",986.199.560.119,132.003.304.750,-,1.118.202.864.869,986199560119.0,132003304750.0,,1118202864869.0
Cộng,Cộng,Cộng,2.247.772.960.618,1.247.462.985.412,834.263.000.000,4.329.498.946.030,2247772960618.0,1247462985412.0,834263000000.0,4329498946030.0
Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,Dưới 1 năm,Từ 1-5 năm,Trên 5 năm,Tổng cộng,,,,
Các khoản vay và nợ,Ngày 31 tháng 12 năm 2024 > Các khoản vay và nợ,Các khoản vay và nợ,1.543.098.322.850,1.324.815.830.342,91.607.000.000,2.959.521.153.192,1543098322850.0,1324815830342.0,91607000000.0,2959521153192.0
Phải trả người bán,Ngày 31 tháng 12 năm 2024 > Phải trả người bán,Phải trả người bán,312.402.127.111,-,-,312.402.127.111,312402127111.0,,,312402127111.0
"Các khoản phải trả, phải nộp khác và chi phí phải trả","Ngày 31 tháng 12 năm 2024 > Các khoản phải trả, phải nộp khác và chi phí phải trả","Các khoản phải trả, phải nộp khác và chi phí phải trả",1.023.555.960.240,144.661.097.469,-,1.168.217.057.709,1023555960240.0,144661097469.0,,1168217057709.0
Cộng,Ngày 31 tháng 12 năm 2024 > Cộng,Cộng,2.879.056.410.201,1.469.476.927.811,91.607.000.000,4.440.140.338.012,2879056410201.0,1469476927811.0,91607000000.0,4440140338012.0
