row_label_raw,row_label_full,"Dự phòng phải thu khó đòi > - Tổng giá trị các khoản phải thu, trả trước người bán quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi > Công ty TNHH Tư vấn Thiết kế Xây dựng Hưng Đức > Công ty Cổ phần Đầu tư Tấn Hưng > Bà Lê Thị Giàu",31/12/2025 > Giá gốc > 39.672.275.352 > 2.153.168.926 > 9.345.881.151 > 5.121.000.000,31/12/2025 > Giá trị có thể thu hồi > 68.993.977 > -,31/12/2025 > Đối tượng nợ > Khoản phải thu quá hạn trên 3 năm,01/01/2025 > Giá gốc > 16.751.175.952 > 2.153.168.926 > 9.345.881.151 > 5.121.000.000,01/01/2025 > Giá trị có thể thu hồi > 4.431.852.457 > - > 2.803.764.345 > 1.536.300.000,01/01/2025 > Đối tượng nợ > Khoản phải thu quá hạn trên 3 năm > Khoản phải thu quá hạn từ 2 - 3 năm,numeric__31/12/2025 > Giá gốc > 39.672.275.352 > 2.153.168.926 > 9.345.881.151 > 5.121.000.000,numeric__31/12/2025 > Giá trị có thể thu hồi > 68.993.977 > -,numeric__31/12/2025 > Đối tượng nợ > Khoản phải thu quá hạn trên 3 năm,numeric__01/01/2025 > Giá gốc > 16.751.175.952 > 2.153.168.926 > 9.345.881.151 > 5.121.000.000,numeric__01/01/2025 > Giá trị có thể thu hồi > 4.431.852.457 > - > 2.803.764.345 > 1.536.300.000,numeric__01/01/2025 > Đối tượng nợ > Khoản phải thu quá hạn trên 3 năm > Khoản phải thu quá hạn từ 2 - 3 năm
Công ty TNHH MTV Kỹ Thuật Xây dựng Toàn Thịnh Phát,Công ty TNHH MTV Kỹ Thuật Xây dựng Toàn Thịnh Phát,Công ty TNHH MTV Kỹ Thuật Xây dựng Toàn Thịnh Phát,223.467.899,-,Khoản phải thu không có khả năng thu hồi,-,-,,223467899.0,,,,,
Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,11.540.552.692,-,Khoản phải thu không có khả năng thu hồi,-,-,,11540552692.0,,,,,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,11.145.642.009,-,Khoản phải thu không có khả năng thu hồi,-,-,,11145642009.0,,,,,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,142.562.675,68.993.977,Các Khoản phải thu quá hạn từ 2 - 3 năm và Các Khoản phải thu quá hạn trên 3 năm,131.125.875,91.788.112,Khoản phải thu quá hạn từ 6 tháng đến 1 năm,142562675.0,68993977.0,,131125875.0,91788112.0,
