row_label_raw,row_label_full,Doanh thu thuần từ chuyển nhượng bất động sản,34.599.481.468,377.907.410.573,numeric__34.599.481.468,numeric__377.907.410.573
Doanh thu thuần từ bán hàng hóa,Doanh thu thuần từ bán hàng hóa,Doanh thu thuần từ bán hàng hóa,155.710.494.380,104.086.335.492,155710494380.0,104086335492.0
Doanh thu thuần từ dịch vụ cho thuê,Doanh thu thuần từ dịch vụ cho thuê,Doanh thu thuần từ dịch vụ cho thuê,291.130.795.189,103.231.152.847,291130795189.0,103231152847.0
Doanh thu thuần từ dịch vụ xây dựng,Doanh thu thuần từ dịch vụ xây dựng,Doanh thu thuần từ dịch vụ xây dựng,326.012.151.540,27.825.584.039,326012151540.0,27825584039.0
Doanh thu thuần từ dịch vụ bất động sản,Doanh thu thuần từ dịch vụ bất động sản,Doanh thu thuần từ dịch vụ bất động sản,260.052.271.061,70.113.210.788,260052271061.0,70113210788.0
Cộng,Cộng,Cộng,1.067.505.193.638,683.163.693.739,1067505193638.0,683163693739.0
