row_label_raw,row_label_full,Trả trước cho người bán,31/12/2025 > Giá trị,31/12/2025 > Dự phòng,01/01/2025 > Giá trị,01/01/2025 > Dự phòng,numeric__31/12/2025 > Giá trị,numeric__31/12/2025 > Dự phòng,numeric__01/01/2025 > Giá trị,numeric__01/01/2025 > Dự phòng
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,1.114.625.253.889,-,391.562.390.855,-,1114625253889.0,,391562390855.0,
Trả trước người bán là các bên liên quan (xem thuyết minh IX.3) (1),Trả trước người bán là các bên liên quan (xem thuyết minh IX.3) (1),Trả trước người bán là các bên liên quan (xem thuyết minh IX.3) (1),562.826.452.333,-,84.328.422.212,-,562826452333.0,,84328422212.0,
Công ty Cổ phần Nội Thất 68 (2),Công ty Cổ phần Nội Thất 68 (2),Công ty Cổ phần Nội Thất 68 (2),152.227.000.000,-,260.738.181.800,-,152227000000.0,,260738181800.0,
Công ty TNHH Đầu tư Kinh doanh An Việt (3),Công ty TNHH Đầu tư Kinh doanh An Việt (3),Công ty TNHH Đầu tư Kinh doanh An Việt (3),358.085.000.000,-,-,-,358085000000.0,,,
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,41.486.801.556,-,46.495.786.843,-,41486801556.0,,46495786843.0,
b. Dài hạn,b. Dài hạn,b. Dài hạn,242.386.417.634,-,242.386.417.634,-,242386417634.0,,242386417634.0,
Công ty TNHH Đầu tư Sabeco (4),Công ty TNHH Đầu tư Sabeco (4),Công ty TNHH Đầu tư Sabeco (4),227.355.785.711,-,227.355.785.711,-,227355785711.0,,227355785711.0,
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,15.030.631.923,-,15.030.631.923,-,15030631923.0,,15030631923.0,
Cộng,Cộng,Cộng,1.357.011.671.523,-,633.948.808.489,-,1357011671523.0,,633948808489.0,
