row_label_raw,row_label_full,Phải thu khách hàng > Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hùng Anh Năm,Nội dung nghiệp vụ > Cung cấp dịch vụ > Thanh lý khoản đầu tư,31/12/2025 > 15.026.894.793 > 101.758.250,01/01/2025 > 38.101.816.545 > 24.616.250.059,numeric__Nội dung nghiệp vụ > Cung cấp dịch vụ > Thanh lý khoản đầu tư,numeric__31/12/2025 > 15.026.894.793 > 101.758.250,numeric__01/01/2025 > 38.101.816.545 > 24.616.250.059
Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Thanh lý khoản đầu tư,101.758.250,24.616.250.059,,101758250.0,24616250059.0
Công ty Cổ phần Khai thác và Quản lý KCN Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý KCN Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý KCN Đặng Huỳnh,Cung cấp dịch vụ,5.123.411.000,18.260.000.000,,5123411000.0,18260000000.0
Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Công ty TNHH Dịch vụ Quản lý Bất động sản Sài Gòn Thương Tín,Bán hàng và cung cấp dịch vụ,749.252.053,9.279.736.140,,749252053.0,9279736140.0
Công ty Cổ phần Đầu tư Hạ tầng Cụm công nghiệp Tân Hội,Công ty Cổ phần Đầu tư Hạ tầng Cụm công nghiệp Tân Hội,Công ty Cổ phần Đầu tư Hạ tầng Cụm công nghiệp Tân Hội,Cung cấp dịch vụ,15.794.102.831,-,,15794102831.0,
Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Công ty Cổ phần Mai Lan,Bán hàng và cung cấp dịch vụ,9.900.000,28.610.093,,9900000.0,28610093.0
Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Công ty TNHH MTV Kinh doanh Dịch vụ Địa ốc Sài Gòn Thương Tín,Bán hàng và cung cấp dịch vụ,-,5.421.735.679,,,5421735679.0
Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Công ty Cổ phần Đầu tư Phát triển Bất động sản Đông Sài Gòn,Bán hàng và cung cấp dịch vụ,122.322.877,155.716.558,,122322877.0,155716558.0
Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Công ty Cổ phần Thương Tín Tàu Cuốc,Cho thuê mặt bằng,-,114.440.372,,,114440372.0
Công ty Cổ phần Khu Công Nghiệp Thành Thành Công,Công ty Cổ phần Khu Công Nghiệp Thành Thành Công,Công ty Cổ phần Khu Công Nghiệp Thành Thành Công,Thi công xây dựng,-,13.405.727.879,,,13405727879.0
Công ty Cổ phần Công nghiệp phụ trợ S&D,Công ty Cổ phần Công nghiệp phụ trợ S&D,Công ty Cổ phần Công nghiệp phụ trợ S&D,Cho thuê kho,-,3.000.000.000,,,3000000000.0
Công ty Cổ phần Công nghiệp phụ trợ S&D,Công ty Cổ phần Công nghiệp phụ trợ S&D,Công ty Cổ phần Công nghiệp phụ trợ S&D,Thanh lý công cụ dụng cụ,10.524.400,-,,10524400.0,
Công,Công,Công,,36.938.166.204,112.384.033.325,,36938166204.0,112384033325.0
