row_label_raw,row_label_full,4. Giá vốn hàng bán,Năm 2025,Năm 2024,numeric__Năm 2025,numeric__Năm 2024
Giá vốn từ chuyển nhượng bất động sản,Giá vốn từ chuyển nhượng bất động sản,Giá vốn từ chuyển nhượng bất động sản,87.939.796.893,512.175.225.134,87939796893.0,512175225134.0
Giá vốn từ bán hàng hóa,Giá vốn từ bán hàng hóa,Giá vốn từ bán hàng hóa,155.626.218.500,104.058.949.715,155626218500.0,104058949715.0
Giá vốn từ dịch vụ cho thuê,Giá vốn từ dịch vụ cho thuê,Giá vốn từ dịch vụ cho thuê,138.241.727.522,59.668.564.468,138241727522.0,59668564468.0
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,6.571.109.430,-,6571109430.0,
Giá vốn từ dịch vụ xây dựng,Giá vốn từ dịch vụ xây dựng,Giá vốn từ dịch vụ xây dựng,307.500.664.060,25.610.077.954,307500664060.0,25610077954.0
Giá vốn từ dịch vụ bất động sản,Giá vốn từ dịch vụ bất động sản,Giá vốn từ dịch vụ bất động sản,34.472.837.067,48.032.887.051,34472837067.0,48032887051.0
Cộng,Cộng,Cộng,730.352.353.472,749.545.704.322,730352353472.0,749545704322.0
5. Doanh thu hoạt động tài chính,5. Doanh thu hoạt động tài chính,5. Doanh thu hoạt động tài chính,Năm 2025,Năm 2024,,
Lãi tiền gửi,5. Doanh thu hoạt động tài chính > Lãi tiền gửi,Lãi tiền gửi,3.514.165.835,5.703.973.893,3514165835.0,5703973893.0
Lãi cho vay,5. Doanh thu hoạt động tài chính > Lãi cho vay,Lãi cho vay,161.353.810.202,87.435.849.532,161353810202.0,87435849532.0
Lãi chuyển nhượng vốn và lãi từ hoạt động đầu tư (i),5. Doanh thu hoạt động tài chính > Lãi chuyển nhượng vốn và lãi từ hoạt động đầu tư (i),Lãi chuyển nhượng vốn và lãi từ hoạt động đầu tư (i),101.814.040.381,270.294.690.912,101814040381.0,270294690912.0
Lãi mua bán chứng khoán,5. Doanh thu hoạt động tài chính > Lãi mua bán chứng khoán,Lãi mua bán chứng khoán,1.349.018,-,1349018.0,
Lãi từ hợp đồng hợp tác kinh doanh,5. Doanh thu hoạt động tài chính > Lãi từ hợp đồng hợp tác kinh doanh,Lãi từ hợp đồng hợp tác kinh doanh,430.309.521,56.520.153.992,430309521.0,56520153992.0
"Cổ tức, lợi nhuận được chia","5. Doanh thu hoạt động tài chính > Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",2.024.361.500,25.341.329.840,2024361500.0,25341329840.0
Cộng,5. Doanh thu hoạt động tài chính > Cộng,Cộng,269.138.036.457,445.295.998.169,269138036457.0,445295998169.0
