row_label_raw,row_label_full,c.2 Đầu tư vào đơn vị khác,c.2 Đầu tư vào đơn vị khác_1,31/12/2025 > Tỷ lệ sở hữu (%),31/12/2025 > Giá gốc (VND),31/12/2025 > Dự phòng (VND),01/01/2025 > Tỷ lệ sở hữu (%),01/01/2025 > Giá gốc (VND),01/01/2025 > Dự phòng (VND),numeric__c.2 Đầu tư vào đơn vị khác_1,numeric__31/12/2025 > Tỷ lệ sở hữu (%),numeric__31/12/2025 > Giá gốc (VND),numeric__31/12/2025 > Dự phòng (VND),numeric__01/01/2025 > Tỷ lệ sở hữu (%),numeric__01/01/2025 > Giá gốc (VND),numeric__01/01/2025 > Dự phòng (VND)
+ Công ty Cổ phần Thương mại và Xây dựng Phước Tân (4),+ Công ty Cổ phần Thương mại và Xây dựng Phước Tân (4),+ Công ty Cổ phần Thương mại và Xây dựng Phước Tân (4),Đang hoạt động,"1,41",22.081.940.500,-,"11,33",177.333.985.000,-,,1.41,22081940500.0,,11.33,177333985000.0,
+ Công ty Cổ phần Đầu tư Xây dựng Hùng Anh,+ Công ty Cổ phần Đầu tư Xây dựng Hùng Anh,+ Công ty Cổ phần Đầu tư Xây dựng Hùng Anh,Đang hoạt động,"0,62",14.951.584,(14.951.584),"0,62",14.951.584,(14.951.584),,0.62,14951584.0,-14951584.0,0.62,14951584.0,-14951584.0
+ Công ty Cổ phần Khai Thác và Quản Lý Khu Công Nghiệp Đăng Huỳnh (5),+ Công ty Cổ phần Khai Thác và Quản Lý Khu Công Nghiệp Đăng Huỳnh (5),+ Công ty Cổ phần Khai Thác và Quản Lý Khu Công Nghiệp Đăng Huỳnh (5),Đang hoạt động,"0,49",11.946.606.000,-,-,-,-,,0.49,11946606000.0,,,,
+ Công ty Cổ phần Toàn Hải Vân (6),+ Công ty Cổ phần Toàn Hải Vân (6),+ Công ty Cổ phần Toàn Hải Vân (6),Đang hoạt động,"6,94",468.731.101.326,-,"10,05",678.606.600.000,-,,6.94,468731101326.0,,10.05,678606600000.0,
Công,Công,Công,,,502.774.599.410,(14.951.584),,855.955.536.584,(14.951.584),,,502774599410.0,-14951584.0,,855955536584.0,-14951584.0
