row_label_raw,row_label_full,col_0,Giá trị,Số có khả năng trả nợ,Giá trị_1,Số có khả năng trả nợ_1,numeric__Giá trị,numeric__Số có khả năng trả nợ,numeric__Giá trị_1,numeric__Số có khả năng trả nợ_1
a. Vay ngắn hạn,a. Vay ngắn hạn,a. Vay ngắn hạn,798.795.315.150,798.795.315.150,1.267.055.852.935,1.267.055.852.935,798795315150.0,798795315150.0,1267055852935.0,1267055852935.0
Vay từ cá nhân và tổ chức (1),Vay từ cá nhân và tổ chức (1),Vay từ cá nhân và tổ chức (1),367.420.139.436,367.420.139.436,565.342.126.842,565.342.126.842,367420139436.0,367420139436.0,565342126842.0,565342126842.0
Vay từ các bên liên quan (2),Vay từ các bên liên quan (2),Vay từ các bên liên quan (2),174.274.839.000,174.274.839.000,473.087.694.783,473.087.694.783,174274839000.0,174274839000.0,473087694783.0,473087694783.0
Vay từ các Ngân hàng (3),Vay từ các Ngân hàng (3),Vay từ các Ngân hàng (3),257.100.336.714,257.100.336.714,228.626.031.310,228.626.031.310,257100336714.0,257100336714.0,228626031310.0,228626031310.0
b. Vay dài hạn đến hạn trả,b. Vay dài hạn đến hạn trả,b. Vay dài hạn đến hạn trả,355.777.457.680,355.777.457.680,276.042.469.915,276.042.469.915,355777457680.0,355777457680.0,276042469915.0,276042469915.0
Vay từ các Ngân hàng (3),Vay từ các Ngân hàng (3),Vay từ các Ngân hàng (3),355.777.457.680,355.777.457.680,275.877.936.600,275.877.936.600,355777457680.0,355777457680.0,275877936600.0,275877936600.0
Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,-,-,164.533.315,164.533.315,,,164533315.0,164533315.0
c. Vay dài hạn,c. Vay dài hạn,c. Vay dài hạn,1.949.722.680.662,1.949.722.680.662,1.416.422.830.342,1.416.422.830.342,1949722680662.0,1949722680662.0,1416422830342.0,1416422830342.0
Vay từ các Ngân hàng (3),Vay từ các Ngân hàng (3),Vay từ các Ngân hàng (3),1.099.722.680.662,1.099.722.680.662,562.422.830.342,562.422.830.342,1099722680662.0,1099722680662.0,562422830342.0,562422830342.0
Vay từ tổ chức (1),Vay từ tổ chức (1),Vay từ tổ chức (1),-,-,4.000.000.000,4.000.000.000,,,4000000000.0,4000000000.0
Trái phiếu (4),Trái phiếu (4),Trái phiếu (4),850.000.000.000,850.000.000.000,850.000.000.000,850.000.000.000,850000000000.0,850000000000.0,850000000000.0,850000000000.0
Cộng,Cộng,Cộng,3.104.295.453.492,3.104.295.453.492,2.959.521.153.192,2.959.521.153.192,3104295453492.0,3104295453492.0,2959521153192.0,2959521153192.0
