row_label_raw,row_label_full,7. Chi phí bán hàng và Chi phí quản lý doanh nghiệp (tiếp theo),Năm 2025,Năm 2024,numeric__Năm 2025,numeric__Năm 2024
b. Chi phí quản lý doanh nghiệp,b. Chi phí quản lý doanh nghiệp,b. Chi phí quản lý doanh nghiệp,,,,
Chi phí nhân viên,b. Chi phí quản lý doanh nghiệp > Chi phí nhân viên,Chi phí nhân viên,27.812.312.280,16.750.617.519,27812312280.0,16750617519.0
Chi phí đồ dùng văn phòng,b. Chi phí quản lý doanh nghiệp > Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,125.412.736,157.045.243,125412736.0,157045243.0
Chi phí khấu hao tài sản cố định,b. Chi phí quản lý doanh nghiệp > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,1.475.509.037,2.683.531.048,1475509037.0,2683531048.0
"Thuế, phí và lệ phí","b. Chi phí quản lý doanh nghiệp > Thuế, phí và lệ phí","Thuế, phí và lệ phí",167.855.487,873.300.188,167855487.0,873300188.0
Dự phòng/(Hoàn nhập) dự phòng phải thu khó đòi,b. Chi phí quản lý doanh nghiệp > Dự phòng/(Hoàn nhập) dự phòng phải thu khó đòi,Dự phòng/(Hoàn nhập) dự phòng phải thu khó đòi,131.645.374.113,(10.278.836.007),131645374113.0,-10278836007.0
Chi phí dịch vụ mua ngoài,b. Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,13.927.634.892,18.039.351.658,13927634892.0,18039351658.0
Chi phí bằng tiền khác,b. Chi phí quản lý doanh nghiệp > Chi phí bằng tiền khác,Chi phí bằng tiền khác,3.074.603.625,2.541.158.482,3074603625.0,2541158482.0
Cộng,b. Chi phí quản lý doanh nghiệp > Cộng,Cộng,178.228.702.170,30.766.168.131,178228702170.0,30766168131.0
8. Thu nhập khác,8. Thu nhập khác,8. Thu nhập khác,Năm 2025,Năm 2024,,
Lãi từ ủy thác đầu tư,8. Thu nhập khác > Lãi từ ủy thác đầu tư,Lãi từ ủy thác đầu tư,1.031.658.504,15.120.033.160,1031658504.0,15120033160.0
Thu nhập từ phạt vi phạm hợp đồng,8. Thu nhập khác > Thu nhập từ phạt vi phạm hợp đồng,Thu nhập từ phạt vi phạm hợp đồng,6.568.858.942,517.044.000,6568858942.0,517044000.0
"Thu nhập từ thanh lý công cụ, dụng cụ","8. Thu nhập khác > Thu nhập từ thanh lý công cụ, dụng cụ","Thu nhập từ thanh lý công cụ, dụng cụ",-,389.014.689,,389014689.0
Thu nhập từ thanh lý tài sản cố định,8. Thu nhập khác > Thu nhập từ thanh lý tài sản cố định,Thu nhập từ thanh lý tài sản cố định,278.593.682,261.224.070,278593682.0,261224070.0
Các khoản thu nhập khác,8. Thu nhập khác > Các khoản thu nhập khác,Các khoản thu nhập khác,1.208.183.150,26.917.685,1208183150.0,26917685.0
Cộng,8. Thu nhập khác > Cộng,Cộng,9.087.294.278,16.314.233.604,9087294278.0,16314233604.0
9. Chi phí khác,9. Chi phí khác,9. Chi phí khác,Năm 2025,Năm 2024,,
Chi phí xử lý công nợ,Chi phí xử lý công nợ,Chi phí xử lý công nợ,-,-,,
Chi phí thanh lý công cụ dụng cụ,Chi phí xử lý công nợ > Chi phí thanh lý công cụ dụng cụ,Chi phí thanh lý công cụ dụng cụ,1.274.030.924,-,1274030924.0,
Tiền bồi thường do vi phạm hợp đồng,Chi phí xử lý công nợ > Tiền bồi thường do vi phạm hợp đồng,Tiền bồi thường do vi phạm hợp đồng,7.960.281.232,2.016.276.381,7960281232.0,2016276381.0
Tiền phạt vi phạm hành chính,Chi phí xử lý công nợ > Tiền phạt vi phạm hành chính,Tiền phạt vi phạm hành chính,19.670.858,5.150.982.311,19670858.0,5150982311.0
Lỗ ủy thác đầu tư,Chi phí xử lý công nợ > Lỗ ủy thác đầu tư,Lỗ ủy thác đầu tư,1.899.082.693,-,1899082693.0,
Chi phí dự án không còn thực hiện,Chi phí xử lý công nợ > Chi phí dự án không còn thực hiện,Chi phí dự án không còn thực hiện,1.680.000.000,-,1680000000.0,
Các khoản chi phí khác,Chi phí xử lý công nợ > Các khoản chi phí khác,Các khoản chi phí khác,1.074.918.388,1.245.943.301,1074918388.0,1245943301.0
Cộng,Chi phí xử lý công nợ > Cộng,Cộng,13.907.984.095,8.413.201.993,13907984095.0,8413201993.0
10. Chi phí thuế thu nhập doanh nghiệp hiện hành,10. Chi phí thuế thu nhập doanh nghiệp hiện hành,10. Chi phí thuế thu nhập doanh nghiệp hiện hành,Năm 2025,Năm 2024,,
1. Tổng lợi nhuận kế toán trước thuế,10. Chi phí thuế thu nhập doanh nghiệp hiện hành > 1. Tổng lợi nhuận kế toán trước thuế,1. Tổng lợi nhuận kế toán trước thuế,141.177.171.482,77.371.275.090,141177171482.0,77371275090.0
"2. Các khoản điều chỉnh tăng, giảm lợi nhuận kế toán đề xác định thu nhập chịu thuế thu nhập doanh nghiệp:","10. Chi phí thuế thu nhập doanh nghiệp hiện hành > 2. Các khoản điều chỉnh tăng, giảm lợi nhuận kế toán đề xác định thu nhập chịu thuế thu nhập doanh nghiệp:","2. Các khoản điều chỉnh tăng, giảm lợi nhuận kế toán đề xác định thu nhập chịu thuế thu nhập doanh nghiệp:",(60.586.542.456),22.442.283.733,-60586542456.0,22442283733.0
Các khoản điều chỉnh tăng,10. Chi phí thuế thu nhập doanh nghiệp hiện hành > Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,4.138.521.074,47.783.613.573,4138521074.0,47783613573.0
+ Chi phí không được trì,10. Chi phí thuế thu nhập doanh nghiệp hiện hành > + Chi phí không được trì,+ Chi phí không được trì,4.138.521.074,3.413.137.919,4138521074.0,3413137919.0
+ Chi phí lãi vay không được trì theo ND 132,10. Chi phí thuế thu nhập doanh nghiệp hiện hành > + Chi phí lãi vay không được trì theo ND 132,+ Chi phí lãi vay không được trì theo ND 132,-,44.370.475.654,,44370475654.0
Các khoản điều chỉnh giảm,10. Chi phí thuế thu nhập doanh nghiệp hiện hành > Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,(64.725.063.530),(25.341.329.840),-64725063530.0,-25341329840.0
