row_label_raw,row_label_full,col_0,01/01/2025,Số phải nộp trong năm,Số đã thực nộp trong năm,31/12/2025,numeric__01/01/2025,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__31/12/2025
a. Phải nộp,a. Phải nộp,a. Phải nộp,a. Phải nộp,a. Phải nộp,a. Phải nộp,a. Phải nộp,,,,
Thuế giá trị gia tăng,a. Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.482.941.695,2.706.784.796,2.975.777.413,1.213.949.078,1482941695.0,2706784796.0,2975777413.0,1213949078.0
Thuế thu nhập doanh nghiệp,a. Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,14.594.218.267,16.118.125.805,14.148.094.795,16.564.249.277,14594218267.0,16118125805.0,14148094795.0,16564249277.0
Thuế thu nhập cá nhân,a. Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.519.727.245,5.500.083.281,5.952.551.209,1.067.259.317,1519727245.0,5500083281.0,5952551209.0,1067259317.0
Các loại thuế khác,a. Phải nộp > Các loại thuế khác,Các loại thuế khác,72.771.417,525.570.858,568.917.136,29.425.139,72771417.0,525570858.0,568917136.0,29425139.0
Cộng,a. Phải nộp > Cộng,Cộng,17.669.658.624,24.850.564.740,23.645.340.553,18.874.882.811,17669658624.0,24850564740.0,23645340553.0,18874882811.0
b. Khấu trừ,b. Khấu trừ,b. Khấu trừ,01/01/2025,Tăng trong năm,Giảm trong năm,31/12/2025,,,,
Thuế giá trị gia tăng,b. Khấu trừ > Thuế giá trị gia tăng,Thuế giá trị gia tăng,87.574.927.979,2.706.784.796,51.047.783.768,39.233.929.007,87574927979.0,2706784796.0,51047783768.0,39233929007.0
Cộng,b. Khấu trừ > Cộng,Cộng,87.574.927.979,2.706.784.796,51.047.783.768,39.233.929.007,87574927979.0,2706784796.0,51047783768.0,39233929007.0
17. Chi phí phải trả,17. Chi phí phải trả,17. Chi phí phải trả,,,31/12/2025,01/01/2025,,,,
a. Ngắn hạn,17. Chi phí phải trả > a. Ngắn hạn,a. Ngắn hạn,,,322.361.866.872,317.629.757.437,,,322361866872.0,317629757437.0
Chi phí xây dựng dự án,17. Chi phí phải trả > Chi phí xây dựng dự án,Chi phí xây dựng dự án,,,241.024.212.408,236.881.726.284,,,241024212408.0,236881726284.0
Chi phí lãi vay,17. Chi phí phải trả > Chi phí lãi vay,Chi phí lãi vay,,,47.925.769.031,42.779.948.045,,,47925769031.0,42779948045.0
Chi phí phải trả khác,17. Chi phí phải trả > Chi phí phải trả khác,Chi phí phải trả khác,,,33.411.885.433,37.968.083.108,,,33411885433.0,37968083108.0
b. Dài hạn,17. Chi phí phải trả > b. Dài hạn,b. Dài hạn,,,69.487.059.998,86.016.987.675,,,69487059998.0,86016987675.0
Chi phí thuê đất và chia lợi nhuận cố định (*),17. Chi phí phải trả > Chi phí thuê đất và chia lợi nhuận cố định (*),Chi phí thuê đất và chia lợi nhuận cố định (*),,,69.487.059.998,86.016.987.675,,,69487059998.0,86016987675.0
Cộng,17. Chi phí phải trả > Cộng,Cộng,,,391.848.926.870,403.646.745.112,,,391848926870.0,403646745112.0
