row_label_raw,row_label_full,Bên cho vay,Thời hạn vay,Số dư (VND),Hình thức đảm bảo,numeric__Thời hạn vay,numeric__Số dư (VND),numeric__Hình thức đảm bảo
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Từ 10/2025 đến 8/2026,224.666.109.492,"- Tiền gửi có kỳ hạn của Công ty và quyền sở hữu nhà ở và tài sản gắn liền với đất tại chung cư Carillon; quyền sở hữu đất và tài sản gắn liền với đất tại đặc khu Phú Quốc, tỉnh An Giang (mói); Quyền sử dụng đất và tài sản gắn liền với đất tại xã Xuân Thới Sơn, Tp. Hồ Chí Minh (mói); Quyền sử dụng đất và tài sản gắn liền với đất tại phường Hoà Thành, tỉnh Tây Ninh (mói) của các bên liên quan.- Thừa đất tại xã Phước Vĩnh An, Tp. Hồ Chí Minh (mói) thuộc sở hữu của một bên thứ ba.",,224666109492.0,
Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng TMCP Công Thương Việt Nam,Từ 11/2025 đến 3/2026,23.613.000.335,"- Quyền sử dụng đất; Quyền sở hữu nhà ở và tài sản khác gắn liền với đất tại xã Cần Giuộc, tỉnh Tây Ninh (mói) của một bên liên quan.",,23613000335.0,
Ngân hàng TMCP Nam Á,Ngân hàng TMCP Nam Á,Ngân hàng TMCP Nam Á,Từ 09/2024 đến 09/2031,86.856.226.887,"- Quyền tài sản phát sinh từ hợp đồng cho thuê kho;- Quyền và lợi ích được hưởng từ việc bởi thường, giải phóng mặt bằng để thực hiện dự án tại quận 5 (cũ), thành phố Hồ Chí Minh, thuộc sở hữu của bên liên quan.",,86856226887.0,
