row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịquản lý,Tài sảncó địnhkhác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịquản lý,numeric__Tài sảncó địnhkhác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,737.262,337.910,90.502,163.852,1.250,1.330.776,737262.0,337910.0,90502.0,163852.0,1250.0,1330776.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,120,9.365,38,-,9.523,,120.0,9365.0,38.0,,9523.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(10.182),-,-,(10.182),,,-10182.0,,,-10182.0
Thay đổi khác,Nguyên giá: > Thay đổi khác,Thay đổi khác,973,-,-,-,-,973,973.0,,,,,973.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,738.235,338.030,89.685,163.890,1.250,1.331.090,738235.0,338030.0,89685.0,163890.0,1250.0,1331090.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,-,27.814,14.463,163.503,1.250,207.030,,27814.0,14463.0,163503.0,1250.0,207030.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,75.820,154.206,33.717,152.312,1.192,417.247,75820.0,154206.0,33717.0,152312.0,1192.0,417247.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,15.067,33.472,10.388,11.561,58,70.546,15067.0,33472.0,10388.0,11561.0,58.0,70546.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,-,-,(5.149),-,-,(5.149),,,-5149.0,,,-5149.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,90.887,187.678,38.956,163.873,1.250,482.644,90887.0,187678.0,38956.0,163873.0,1250.0,482644.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,661.442,183.704,56.785,11.540,58,913.529,661442.0,183704.0,56785.0,11540.0,58.0,913529.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,647.348,150.352,50.729,17,-,848.446,647348.0,150352.0,50729.0,17.0,,848446.0
