row_label_raw,row_label_full,col_0,Chức danh,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Chức danh,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Ông Phạm Nhật Vương,Ông Phạm Nhật Vương,Ông Phạm Nhật Vương,Chủ tịch,-,-,,,
Bà Phạm Thúy Hằng,Ông Phạm Nhật Vương > Bà Phạm Thúy Hằng,Bà Phạm Thúy Hằng,Phó Chủ tịch,2.752,2.034,,2752.0,2034.0
Bà Phạm Thu Hương,Ông Phạm Nhật Vương > Bà Phạm Thu Hương,Bà Phạm Thu Hương,Phó Chủ tịch,2.752,2.034,,2752.0,2034.0
Bà Nguyễn Diệu Linh,Bà Nguyễn Diệu Linh,Bà Nguyễn Diệu Linh,Phó Chủ tịch,-,-,,,
Ông Nguyễn Việt Quang,Bà Nguyễn Diệu Linh > Ông Nguyễn Việt Quang,Ông Nguyễn Việt Quang,Phó Chủ tịch,2.781,2.086,,2781.0,2086.0
Ông Adil Ahmad,Bà Nguyễn Diệu Linh > Ông Adil Ahmad,Ông Adil Ahmad,Thành viên độc lập,1.076,1.056,,1076.0,1056.0
Ông Chin Michael Jaewuk,Bà Nguyễn Diệu Linh > Ông Chin Michael Jaewuk,Ông Chin Michael Jaewuk,Thành viên độc lập,1.076,1.056,,1076.0,1056.0
Ông Ronaldo Dy-Liacco Ibasco,Bà Nguyễn Diệu Linh > Ông Ronaldo Dy-Liacco Ibasco,Ông Ronaldo Dy-Liacco Ibasco,Thành viên độc lập,1.076,1.056,,1076.0,1056.0
Bà Chun Chae Rhan,Bà Chun Chae Rhan,Bà Chun Chae Rhan,Thành viên từ ngày 17 tháng 5 năm 2023,-,-,,,
Ông Yoo Ji Han,Ông Yoo Ji Han,Ông Yoo Ji Han,Thành viên đến ngày 17 tháng 5 năm 2023,-,-,,,
TỔNG CỘNG,Ông Yoo Ji Han > TỔNG CỘNG,TỔNG CỘNG,,11.513,9.322,,11513.0,9322.0
