row_label_raw,row_label_full,col_0,Số lượng cổ phần,Tỷ lệ biểu quyết,Tỷ lệ sở hữu,Giá trị ghi số (i) (triệu VND),Số lượng cổ phần_1,Tỷ lệ biểu quyết_1,Tỷ lệ sở hữu_1,Giá trị ghi số (i) (triệu VND)_1,numeric__Số lượng cổ phần,numeric__Tỷ lệ biểu quyết,numeric__Tỷ lệ sở hữu,numeric__Giá trị ghi số (i) (triệu VND),numeric__Số lượng cổ phần_1,numeric__Tỷ lệ biểu quyết_1,numeric__Tỷ lệ sở hữu_1,numeric__Giá trị ghi số (i) (triệu VND)_1
Công ty VinBrain,Công ty VinBrain,Công ty VinBrain,30.943.396,"49,73%","49,73%",309.435,-,-,-,-,30943396.0,0.49729999999999996,0.49729999999999996,309435.0,,,,
Công ty GeneStory,Công ty GeneStory,Công ty GeneStory,3.421.914,"30,32%","30,32%",34.219,5.115.000,"45,32%","45,32%",51.150,3421914.0,0.3032,0.3032,34219.0,5115000.0,0.4532,0.4532,51150.0
Công ty VinFA,Công ty VinFA,Công ty VinFA,15.017.210,"48,78%","23,18%",15.017,-,-,-,-,15017210.0,0.4878,0.2318,15017.0,,,,
Công ty Aivicam,Công ty Aivicam,Công ty Aivicam,835.504,"49,73%","49,73%",8.355,-,-,-,-,835504.0,0.49729999999999996,0.49729999999999996,8355.0,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,,367.026,,,,51.150,,,,367026.0,,,,51150.0
Dự phòng đầu tư vào công ty liên kết (ii),Dự phòng đầu tư vào công ty liên kết (ii),Dự phòng đầu tư vào công ty liên kết (ii),,,,(283.278),,,,(40.920),,,,-283278.0,,,,-40920.0
