row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,2.155.823,1.994.381,2155823.0,1994381.0
Thuế TNDN theo thuế suất 20%,Thuế TNDN theo thuế suất 20%,Thuế TNDN theo thuế suất 20%,431.165,398.876,431165.0,398876.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,,,
Các khoản (hoàn nhập)/trích lập dự phòng không đủ điều kiện khấu trừ,Các khoản điều chỉnh: > Các khoản (hoàn nhập)/trích lập dự phòng không đủ điều kiện khấu trừ,Các khoản (hoàn nhập)/trích lập dự phòng không đủ điều kiện khấu trừ,(237.312),237.312,-237312.0,237312.0
Chi phí lãi vay không được khấu trừ,Các khoản điều chỉnh: > Chi phí lãi vay không được khấu trừ,Chi phí lãi vay không được khấu trừ,262.274,-,262274.0,
Cổ tức,Các khoản điều chỉnh: > Cổ tức,Cổ tức,-,(1.218.255),,-1218255.0
Thu nhập miễn thuế từ chuyển nhượng cổ phần được chia từ cổ tức,Các khoản điều chỉnh: > Thu nhập miễn thuế từ chuyển nhượng cổ phần được chia từ cổ tức,Thu nhập miễn thuế từ chuyển nhượng cổ phần được chia từ cổ tức,(511.843),(344.000),-511843.0,-344000.0
Lợi nhuận sau thuế chia sẻ từ hợp đồng hợp tác kinh doanh cho đối tác,Các khoản điều chỉnh: > Lợi nhuận sau thuế chia sẻ từ hợp đồng hợp tác kinh doanh cho đối tác,Lợi nhuận sau thuế chia sẻ từ hợp đồng hợp tác kinh doanh cho đối tác,243.391,264.991,243391.0,264991.0
Các khoản điều chỉnh khác,Các khoản điều chỉnh: > Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,66.410,88.565,66410.0,88565.0
Lỗ hoạt động bất động sản không được cán trừ,Các khoản điều chỉnh: > Lỗ hoạt động bất động sản không được cán trừ,Lỗ hoạt động bất động sản không được cán trừ,35.241,79.228,35241.0,79228.0
Lỗ hoạt động khác,Các khoản điều chỉnh: > Lỗ hoạt động khác,Lỗ hoạt động khác,97.883,1.020.114,97883.0,1020114.0
Chi phí thuế TNDN ước tính,Các khoản điều chỉnh: > Chi phí thuế TNDN ước tính,Chi phí thuế TNDN ước tính,387.209,526.831,387209.0,526831.0
