row_label_raw,row_label_full,Dự án,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
"Dự án bắt động sản tại thành phố Hạ Long, tỉnh Quảng Ninh","Dự án bắt động sản tại thành phố Hạ Long, tỉnh Quảng Ninh","Dự án bắt động sản tại thành phố Hạ Long, tỉnh Quảng Ninh",1.731.399,819.927,1731399.0,819927.0
Dự án Vinhomes Royal Island Vũ Yên,Dự án Vinhomes Royal Island Vũ Yên,Dự án Vinhomes Royal Island Vũ Yên,557.664,2.075.689,557664.0,2075689.0
