row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Công ty Vinbus,Công ty Vinbus,Công ty Vinbus,Đi vay,7.948.523,-,,7948523.0,
Công ty Vinbus,Công ty Vinbus,Công ty Vinbus,Cho vay,2.365.595,624.402,,2365595.0,624402.0
Công ty Vinbus,Công ty Vinbus,Công ty Vinbus,Lãi cho vay,74.406,-,,74406.0,
Công ty Vinbus,Công ty Vinbus,Công ty Vinbus,Lãi đi vay,54.832,-,,54832.0,
Công ty Vingroup Investment Việt Nam,Công ty Vingroup Investment Việt Nam,Công ty Vingroup Investment Việt Nam,Cho vay,1.193.300,2.958.500,,1193300.0,2958500.0
Công ty Vingroup Investment Việt Nam,Công ty Vingroup Investment Việt Nam,Công ty Vingroup Investment Việt Nam,Lãi cho vay,304.330,103.632,,304330.0,103632.0
Công ty VinES,Công ty VinES,Công ty VinES,Cho vay,14.101.000,13.458.890,,14101000.0,13458890.0
Công ty VinES,Công ty VinES,Công ty VinES,Gộp vốn bằng gốc và lãi cho vay,1.173.000,-,,1173000.0,
Công ty VinES,Công ty VinES,Công ty VinES,Cán trừ gốc cho vay với công ty con khác,1.055.671,-,,1055671.0,
Công ty VinES,Công ty VinES,Công ty VinES,Gộp vốn bằng tiền,765.000,-,,765000.0,
Công ty VinES,Công ty VinES,Công ty VinES,Cán trừ với gốc đi vay của công ty con khác,740.409,-,,740409.0,
Công ty VinES,Công ty VinES,Công ty VinES,Lãi cho vay,483.086,459.393,,483086.0,459393.0
Công ty VinES Hà Tĩnh,Công ty VinES Hà Tĩnh,Công ty VinES Hà Tĩnh,Cho vay,3.689.894,-,,3689894.0,
Công ty VinES Hà Tĩnh,Công ty VinES Hà Tĩnh,Công ty VinES Hà Tĩnh,Lãi cho vay,101.088,-,,101088.0,
Công ty VinES Hà Tĩnh,Công ty VinES Hà Tĩnh,Công ty VinES Hà Tĩnh,Đi vay,31.700,285.000,,31700.0,285000.0
Công ty VinES Hà Tĩnh,Công ty VinES Hà Tĩnh,Công ty VinES Hà Tĩnh,Lãi đi vay,1.335,68.576,,1335.0,68576.0
Công ty SADO,Công ty SADO,Công ty SADO,Gộp vốn bằng gốc và lãi cho vay,1.329.595,-,,1329595.0,
Công ty SADO,Công ty SADO,Công ty SADO,Đi vay,143.000,-,,143000.0,
Công ty SADO,Công ty SADO,Công ty SADO,Cho vay,141.000,6.328.100,,141000.0,6328100.0
Công ty SADO,Công ty SADO,Công ty SADO,Lãi cho vay,82.850,166.907,,82850.0,166907.0
Công ty SADO,Công ty SADO,Công ty SADO,Nhận chuyển nhượng khoản đầu tư,65.699,182.136,,65699.0,182136.0
Công ty Vinacademy,Công ty Vinacademy,Công ty Vinacademy,Đi vay,2.434.400,455.000,,2434400.0,455000.0
Công ty Vinacademy,Công ty Vinacademy,Công ty Vinacademy,Cán trừ gốc vay với công ty con khác,1.371.783,-,,1371783.0,
Công ty Vinacademy,Công ty Vinacademy,Công ty Vinacademy,Cán trừ gốc cho vay với công ty con khác,775.217,-,,775217.0,
Công ty Vinacademy,Công ty Vinacademy,Công ty Vinacademy,Lãi đi vay,82.301,99.106,,82301.0,99106.0
Công ty Grand Prix,Công ty Grand Prix,Công ty Grand Prix,Gộp vốn bằng gốc và lãi cho vay,344.803,-,,344803.0,
Công ty Grand Prix,Công ty Grand Prix,Công ty Grand Prix,Cho vay,21.000,186.500,,21000.0,186500.0
Công ty Vinschool,Công ty Vinschool,Công ty Vinschool,Nhận đặt cọc chuyển nhượng dự án,1.301.429,-,,1301429.0,
Công ty Vinschool,Công ty Vinschool,Công ty Vinschool,Đi vay,1.015.000,2.260.000,,1015000.0,2260000.0
Công ty Vinschool,Công ty Vinschool,Công ty Vinschool,Hoàn cọc đã nhận chuyển nhượng dự án,800.000,-,,800000.0,
Công ty Vinschool,Công ty Vinschool,Công ty Vinschool,Lãi đi vay,151.712,79.827,,151712.0,79827.0
Công ty Vinschool,Công ty Vinschool,Công ty Vinschool,Nhận chuyển nhượng khoản đầu tư,-,100.000,,,100000.0
Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Doanh thu từ chuyển nhượng bất động sản,323.692,-,,323692.0,
Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Nhận đặt cọc chuyển nhượng dự án,125.000,-,,125000.0,
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Nhận đặt cọc chuyển nhượng dự án,4.640.000,-,,4640000.0,
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Hoàn cọc đã nhận chuyển nhượng dự án,608.159,-,,608159.0,
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Lãi nhập cọc chuyển nhượng dự án,207.826,-,,207826.0,
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Doanh thu từ chuyển nhượng bất động sản,121.562,462.831,,121562.0,462831.0
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Doanh thu cung cấp dịch vụ quản lý,105.384,99.411,,105384.0,99411.0
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Nhận đặt cọc cho mục đích hợp tác đầu tư,-,2.293.180,,,2293180.0
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Cán trừ phải thu chuyển nhượng bất động sản với đặt cọc,-,590.358,,,590358.0
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Doanh thu từ hợp đồng hợp tác kinh doanh,-,51.896,,,51896.0
Công ty Vinmec,Công ty Vinmec,Công ty Vinmec,Cho vay,1.148.200,558.000,,1148200.0,558000.0
Công ty Vinmec,Công ty Vinmec,Công ty Vinmec,Cán trừ gốc cho vay với công ty con khác,1.055.671,-,,1055671.0,
Công ty Vinmec,Công ty Vinmec,Công ty Vinmec,Lãi cho vay,346.946,306.706,,346946.0,306706.0
Công ty Vinmec,Công ty Vinmec,Công ty Vinmec,Mua hàng hóa dịch vụ,-,278.321,,,278321.0
Công ty Xavinco,Công ty Xavinco,Công ty Xavinco,Lãi đi vay,79.493,-,,79493.0,
Công ty Xavinco,Công ty Xavinco,Công ty Xavinco,Cổ tức được chia,-,286.313,,,286313.0
