row_label_raw,row_label_full,(Hoàn nhập)/Thay đổi dự phòng giảm giá trị các khoản đầu tư,Đơn vị tính: triệu VND > Năm nay > (3.617.414),Đơn vị tính: triệu VND > Năm trước > 6.063.655,numeric__Đơn vị tính: triệu VND > Năm nay > (3.617.414),numeric__Đơn vị tính: triệu VND > Năm trước > 6.063.655
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,8.035.725,3.989.774,8035725.0,3989774.0
Lỗ chênh lệch tỷ giá,Lỗ chênh lệch tỷ giá,Lỗ chênh lệch tỷ giá,1.419.665,1.518.575,1419665.0,1518575.0
Lỗ từ hoạt động chuyển nhượng vốn,Lỗ từ hoạt động chuyển nhượng vốn,Lỗ từ hoạt động chuyển nhượng vốn,-,462.212,,462212.0
Chi phí phát hành,Chi phí phát hành,Chi phí phát hành,830.681,397.285,830681.0,397285.0
Chi phí tài chính khác,Chi phí tài chính khác,Chi phí tài chính khác,961.339,868.041,961339.0,868041.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,7.629.996,13.299.542,7629996.0,13299542.0
