row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Ứng trước tiền góp vốn (i),Ngắn hạn > Ứng trước tiền góp vốn (i),Ứng trước tiền góp vốn (i),4.900.000,4.900.000,4900000.0,4900000.0
Các khoản khác,Ngắn hạn > Các khoản khác,Các khoản khác,-,23.955,,23955.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,4.900.000,4.923.955,4900000.0,4923955.0
Trong đó:,Trong đó:,Trong đó:,,,,
Tài sản khác,Trong đó: > Tài sản khác,Tài sản khác,-,23.955,,23955.0
Tài sản khác với bên liên quan(Thuyết minh số 33.2),Trong đó: > Tài sản khác với bên liên quan(Thuyết minh số 33.2),Tài sản khác với bên liên quan(Thuyết minh số 33.2),4.900.000,4.900.000,4900000.0,4900000.0
Dài hạn,Dài hạn,Dài hạn,,,,
Hối phiếu nhận nợ mang đi góp vốn vào Công ty VinFast (ii),Dài hạn > Hối phiếu nhận nợ mang đi góp vốn vào Công ty VinFast (ii),Hối phiếu nhận nợ mang đi góp vốn vào Công ty VinFast (ii),25.782.160,25.782.160,25782160.0,25782160.0
Đặt cọc cho mục đích thực hiện hợp đồng (iii),Dài hạn > Đặt cọc cho mục đích thực hiện hợp đồng (iii),Đặt cọc cho mục đích thực hiện hợp đồng (iii),-,5.522.946,,5522946.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,25.782.160,31.305.106,25782160.0,31305106.0
Trong đó:,Trong đó:,Trong đó:,,,,
Tài sản khác với bên liên quan(Thuyết minh số 33.2),Trong đó: > Tài sản khác với bên liên quan(Thuyết minh số 33.2),Tài sản khác với bên liên quan(Thuyết minh số 33.2),25.782.160,31.305.106,25782160.0,31305106.0
