row_label_raw,row_label_full,Số đầu năm > Tăng trong năm,Đơn vị tính: triệu VND > Năm nay > 4.474.605 > 2.244.699,Đơn vị tính: triệu VND > Năm trước > 3.277.631 > 1.664.152,numeric__Đơn vị tính: triệu VND > Năm nay > 4.474.605 > 2.244.699,numeric__Đơn vị tính: triệu VND > Năm trước > 3.277.631 > 1.664.152
Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,-,(115.063),,-115063.0
Chuyển sang bất động sản đầu tư(Thuyết minh số 15),Chuyển sang bất động sản đầu tư(Thuyết minh số 15),Chuyển sang bất động sản đầu tư(Thuyết minh số 15),(90.650),(78.099),-90650.0,-78099.0
Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,(2.381.672),(28.030),-2381672.0,-28030.0
Thay đổi khác,Thay đổi khác,Thay đổi khác,-,(245.986),,-245986.0
Số cuối năm,Số cuối năm,Số cuối năm,4.246.982,4.474.605,4246982.0,4474605.0
