row_label_raw,row_label_full,col_0,"Quyền sử dụngđất và nhà cửa,vật kiến trúc","Máy móc,thiết bị",Tổng cộng,"numeric__Quyền sử dụngđất và nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,2.672.503,1.237.626,3.910.129,2672503.0,1237626.0,3910129.0
Xây dựng cơ bản hoàn thành(Thuyết minh số 16),Nguyên giá: > Xây dựng cơ bản hoàn thành(Thuyết minh số 16),Xây dựng cơ bản hoàn thành(Thuyết minh số 16),90.650,-,90.650,90650.0,,90650.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(747.652),(514.213),(1.261.865),-747652.0,-514213.0,-1261865.0
Thay đổi khác,Nguyên giá: > Thay đổi khác,Thay đổi khác,(4.558),5.111,553,-4558.0,5111.0,553.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,2.010.943,728.524,2.739.467,2010943.0,728524.0,2739467.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,367.898,510.989,878.887,367898.0,510989.0,878887.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,71.029,56.337,127.366,71029.0,56337.0,127366.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(72.888),(233.895),(306.783),-72888.0,-233895.0,-306783.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,366.039,333.431,699.470,366039.0,333431.0,699470.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,2.304.605,726.637,3.031.242,2304605.0,726637.0,3031242.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,1.644.904,395.093,2.039.997,1644904.0,395093.0,2039997.0
