row_label_raw,row_label_full,Bên cho vay/Bên thu xếp tín dụng,Số cuối năm,Số cuối năm_1,Kỳ hạn trả gốc và lãi,Tài sản đảm bảo,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Kỳ hạn trả gốc và lãi,numeric__Tài sản đảm bảo
Bên cho vay/Bên thu xếp tín dụng,Bên cho vay/Bên thu xếp tín dụng,Bên cho vay/Bên thu xếp tín dụng,Nguyên tệ,Triệu VND,Kỳ hạn trả gốc và lãi,Tài sản đảm bảo,,,,
Các bên thu xếp tín dụng của khoản vay hợp vốn 1,Bên cho vay/Bên thu xếp tín dụng > Các bên thu xếp tín dụng của khoản vay hợp vốn 1,Các bên thu xếp tín dụng của khoản vay hợp vốn 1,USD,3.716.764,Gốc trả từ tháng 5 năm2024 đến tháng 11 năm,(i),,3716764.0,,
Trong đó: vay dài hạn đến hạn trả,Bên cho vay/Bên thu xếp tín dụng > Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,USD,3.716.764,2024. Lãi trả hàng quý.,,,3716764.0,,
Các bên thu xếp tín dụng của khoản vay hợp vốn 2,Bên cho vay/Bên thu xếp tín dụng > Các bên thu xếp tín dụng của khoản vay hợp vốn 2,Các bên thu xếp tín dụng của khoản vay hợp vốn 2,USD,8.811.891,Gốc trả từ tháng 6 năm2024 đến tháng 12 năm,(i),,8811891.0,,
Trong đó: vay dài hạn đến hạn trả,Bên cho vay/Bên thu xếp tín dụng > Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,USD,1.467.000,2026. Lãi trả hàng quý.,,,1467000.0,,
Các bên thu xếp tín dụng của khoản vay hợp vốn 3,Bên cho vay/Bên thu xếp tín dụng > Các bên thu xếp tín dụng của khoản vay hợp vốn 3,Các bên thu xếp tín dụng của khoản vay hợp vốn 3,USD,7.452.649,Gốc trả từ tháng 2 năm2024 đến tháng 2 năm,(i),,7452649.0,,
Trong đó: vay dài hạn đến hạn trả,Bên cho vay/Bên thu xếp tín dụng > Trong đó: vay dài hạn đến hạn trả,Trong đó: vay dài hạn đến hạn trả,USD,1.338.637,2026. Lãi trả hàng quý.,,,1338637.0,,
TỔNG CỘNG,Bên cho vay/Bên thu xếp tín dụng > TỔNG CỘNG,TỔNG CỘNG,,19.981.304,,,,19981304.0,,
Trong đó:Vay dài hạn,Bên cho vay/Bên thu xếp tín dụng > Trong đó:Vay dài hạn,Trong đó:Vay dài hạn,,13.458.903,,,,13458903.0,,
Vay dài hạn đến hạn trả,Bên cho vay/Bên thu xếp tín dụng > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,,6.522.401,,,,6522401.0,,
