row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm(Trình bày lại),numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm(Trình bày lại)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Tiền đặt cọc, góp vốn tử đối tác cho mục đích hợp tácđầu tư/kinh doanh và chuyển nhượng các dự án bắt động sản","Ngắn hạn > Tiền đặt cọc, góp vốn tử đối tác cho mục đích hợp tácđầu tư/kinh doanh và chuyển nhượng các dự án bắt động sản","Tiền đặt cọc, góp vốn tử đối tác cho mục đích hợp tácđầu tư/kinh doanh và chuyển nhượng các dự án bắt động sản",7.472.027,16.365.952,7472027.0,16365952.0
Phải trả tiền đặt cọc theo biên bản thanh lý thỏa thuận hợp tác phát triển (*),Ngắn hạn > Phải trả tiền đặt cọc theo biên bản thanh lý thỏa thuận hợp tác phát triển (*),Phải trả tiền đặt cọc theo biên bản thanh lý thỏa thuận hợp tác phát triển (*),7.687.965,-,7687965.0,
Đặt cọc để chuyển nhượng các khoản đầu tư,Ngắn hạn > Đặt cọc để chuyển nhượng các khoản đầu tư,Đặt cọc để chuyển nhượng các khoản đầu tư,6.740.792,3.563.896,6740792.0,3563896.0
Phải trả theo hình thức thư tín dụng (**),Ngắn hạn > Phải trả theo hình thức thư tín dụng (**),Phải trả theo hình thức thư tín dụng (**),237.582,800.000,237582.0,800000.0
Tiền thu từ các hợp đồng đặt cọc và hợp đồng khác liên quan đến các dự án bắt động sản,Ngắn hạn > Tiền thu từ các hợp đồng đặt cọc và hợp đồng khác liên quan đến các dự án bắt động sản,Tiền thu từ các hợp đồng đặt cọc và hợp đồng khác liên quan đến các dự án bắt động sản,403.626,675.705,403626.0,675705.0
Lợi nhuận phân chia cho đối tác theo hợp đồng hợp tácđầu tư/kinh doanh,Ngắn hạn > Lợi nhuận phân chia cho đối tác theo hợp đồng hợp tácđầu tư/kinh doanh,Lợi nhuận phân chia cho đối tác theo hợp đồng hợp tácđầu tư/kinh doanh,221.707,-,221707.0,
Khác,Ngắn hạn > Khác,Khác,66.620,16.317,66620.0,16317.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,22.830.319,21.421.870,22830319.0,21421870.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả khác,Trong đó: > Phải trả khác,Phải trả khác,14.694.364,10.444.369,14694364.0,10444369.0
Phải trả các bên liên quan (Thuyết minh số 33.2),Trong đó: > Phải trả các bên liên quan (Thuyết minh số 33.2),Phải trả các bên liên quan (Thuyết minh số 33.2),8.135.955,10.977.501,8135955.0,10977501.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Tiền đặt cọc, góp vốn tử đối tác cho mục đích hợp tác đàutur/kinh doanh/liên danh và chuyển nhượng các dự án bắtđộng sản","Dài hạn > Tiền đặt cọc, góp vốn tử đối tác cho mục đích hợp tác đàutur/kinh doanh/liên danh và chuyển nhượng các dự án bắtđộng sản","Tiền đặt cọc, góp vốn tử đối tác cho mục đích hợp tác đàutur/kinh doanh/liên danh và chuyển nhượng các dự án bắtđộng sản",81.385.757,47.993.000,81385757.0,47993000.0
Đặt cọc để chuyển nhượng các khoản đầu tư,Dài hạn > Đặt cọc để chuyển nhượng các khoản đầu tư,Đặt cọc để chuyển nhượng các khoản đầu tư,13.702.854,13.902.553,13702854.0,13902553.0
Khác,Dài hạn > Khác,Khác,700.098,533.147,700098.0,533147.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,95.788.709,62.428.700,95788709.0,62428700.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả khác,Trong đó: > Phải trả khác,Phải trả khác,5.757.044,940.646,5757044.0,940646.0
Phải trả các bên liên quan (Thuyết minh số 33.2),Trong đó: > Phải trả các bên liên quan (Thuyết minh số 33.2),Phải trả các bên liên quan (Thuyết minh số 33.2),90.031.665,61.488.054,90031665.0,61488054.0
