row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải thu từ hợp đồng xây dựng – chuyển giao (i),Ngắn hạn > Phải thu từ hợp đồng xây dựng – chuyển giao (i),Phải thu từ hợp đồng xây dựng – chuyển giao (i),10.081.702,1.615.658,10081702.0,1615658.0
Lãi phải thu từ các khoản cho vay và tiền gửi ngân hàng,Ngắn hạn > Lãi phải thu từ các khoản cho vay và tiền gửi ngân hàng,Lãi phải thu từ các khoản cho vay và tiền gửi ngân hàng,1.890.621,1.557.275,1890621.0,1557275.0
Phải thu do chi hộ,Ngắn hạn > Phải thu do chi hộ,Phải thu do chi hộ,150.075,354.238,150075.0,354238.0
Các khoản khác,Ngắn hạn > Các khoản khác,Các khoản khác,203.547,380.569,203547.0,380569.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,12.325.945,3.907.740,12325945.0,3907740.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu khác từ các bên khác,Trong đó: > Phải thu khác từ các bên khác,Phải thu khác từ các bên khác,10.250.981,1.923.307,10250981.0,1923307.0
Phải thu khác từ các bên liên quan(Thuyết minh số 33.2),Trong đó: > Phải thu khác từ các bên liên quan(Thuyết minh số 33.2),Phải thu khác từ các bên liên quan(Thuyết minh số 33.2),2.074.964,1.984.433,2074964.0,1984433.0
Các khoản phải thu khác chiếm trên 10% tổng phải thu khác ngắn hạn:,Các khoản phải thu khác chiếm trên 10% tổng phải thu khác ngắn hạn:,Các khoản phải thu khác chiếm trên 10% tổng phải thu khác ngắn hạn:,Các khoản phải thu khác chiếm trên 10% tổng phải thu khác ngắn hạn:,Các khoản phải thu khác chiếm trên 10% tổng phải thu khác ngắn hạn:,,
Phải thu khác từ một tổ chức,Các khoản phải thu khác chiếm trên 10% tổng phải thu khác ngắn hạn: > Phải thu khác từ một tổ chức,Phải thu khác từ một tổ chức,9.717.046,1.251.003,9717046.0,1251003.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Lãi phải thu từ các khoản cho vay,Dài hạn > Lãi phải thu từ các khoản cho vay,Lãi phải thu từ các khoản cho vay,1.198.644,39.766,1198644.0,39766.0
Các khoản khác,Dài hạn > Các khoản khác,Các khoản khác,3.402,4.634,3402.0,4634.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.202.046,44.400,1202046.0,44400.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu khác từ các bên khác,Trong đó: > Phải thu khác từ các bên khác,Phải thu khác từ các bên khác,3.402,4.634,3402.0,4634.0
Phải thu khác từ các bên liên quan(Thuyết minh số 33.2),Trong đó: > Phải thu khác từ các bên liên quan(Thuyết minh số 33.2),Phải thu khác từ các bên liên quan(Thuyết minh số 33.2),1.198.644,39.766,1198644.0,39766.0
Dự phòng phải thu khác khó đòi,Trong đó: > Dự phòng phải thu khác khó đòi,Dự phòng phải thu khác khó đòi,(26.651),(105.825),-26651.0,-105825.0
Các khoản phải thu khác chiếm trên 10% tổng phải thu khác dài hạn:,Các khoản phải thu khác chiếm trên 10% tổng phải thu khác dài hạn:,Các khoản phải thu khác chiếm trên 10% tổng phải thu khác dài hạn:,Các khoản phải thu khác chiếm trên 10% tổng phải thu khác dài hạn:,Các khoản phải thu khác chiếm trên 10% tổng phải thu khác dài hạn:,,
Phải thu khác từ công ty con số 1,Các khoản phải thu khác chiếm trên 10% tổng phải thu khác dài hạn: > Phải thu khác từ công ty con số 1,Phải thu khác từ công ty con số 1,915.607,4.193,915607.0,4193.0
Phải thu khác từ công ty con số 2,Các khoản phải thu khác chiếm trên 10% tổng phải thu khác dài hạn: > Phải thu khác từ công ty con số 2,Phải thu khác từ công ty con số 2,283.037,35.572,283037.0,35572.0
