row_label_raw,row_label_full,col_0,Vốn cổ phần đã phát hành,Thặng dư vốn cổ phần,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn cổ phần đã phát hành,numeric__Thặng dư vốn cổ phần,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,38.675.533,39.153.313,56.000,6.338.171,84.223.017,38675533.0,39153313.0,56000.0,6338171.0,84223017.0
- Chuyển đổi cổ phiếu ưu đãi thành cổ phiếu phổ thông,Năm trước > - Chuyển đổi cổ phiếu ưu đãi thành cổ phiếu phổ thông,- Chuyển đổi cổ phiếu ưu đãi thành cổ phiếu phổ thông,13.040,(13.040),-,-,-,13040.0,-13040.0,,,
- Trích quỹ khác,Năm trước > - Trích quỹ khác,- Trích quỹ khác,-,-,5.000,(5.000),-,,,5000.0,-5000.0,
- Lợi nhuận thuần trong năm,Năm trước > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,1.467.550,1.467.550,,,,1467550.0,1467550.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,38.688.573,39.140.273,61.000,7.800.721,85.690.567,38688573.0,39140273.0,61000.0,7800721.0,85690567.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,38.688.573,39.140.273,61.000,7.800.721,85.690.567,38688573.0,39140273.0,61000.0,7800721.0,85690567.0
- Trích quỹ khác,Năm nay > - Trích quỹ khác,- Trích quỹ khác,-,-,5.000,(5.000),-,,,5000.0,-5000.0,
- Phát hành cổ phần theo chương trình lựa chọn cho người lao động (*),Năm nay > - Phát hành cổ phần theo chương trình lựa chọn cho người lao động (*),- Phát hành cổ phần theo chương trình lựa chọn cho người lao động (*),97.260,-,-,-,97.260,97260.0,,,,97260.0
- Trả cổ tức cổ phiếu ưu đãi,Năm nay > - Trả cổ tức cổ phiếu ưu đãi,- Trả cổ tức cổ phiếu ưu đãi,-,-,-,(60.950),(60.950),,,,-60950.0,-60950.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,1.768.614,1.768.614,,,,1768614.0,1768614.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,38.785.833,39.140.273,66.000,9.503.385,87.495.491,38785833.0,39140273.0,66000.0,9503385.0,87495491.0
