row_label_raw,row_label_full,"Đơn vị lưu ký/bảo lãnh phát hành > Công ty Cổ phần Chứng khoán Kỹ thương (i)Trong đó: trái phiếu dài hạn đến hạn trả > Công ty Cổ phần Chứng khoán SSI (i) > Ngân hàng The Bank of New York Mellon, London Branch và ngân hàng The Bank of New York Mellon SA/NV, Dublin Branch (ii), (iii)Trong đó: trái phiếu dài hạn đến hạn trả > Ngân hàng The HongKong and Shanghai Banking Corporation Limited (i), (iv), (v)Trong đó: trái phiếu dài hạn đến hạn trả > Ngân hàng The HongKong and Shanghai Banking Corporation Limited, Singapore Branch; Ngân hàng UBS AG Singapore Branch và Ngân hàng The Bank of New York Mellon, London Branch (ii)",Số cuối năm > Nguyên tệ > VND > USD,Số cuối năm > Triệu VND > 8.007.647 > 6.964.960 > 1.410.543 > 6.165.409 > 15.132.181 > 5.881.437,Kỳ hạn trả gốc và lãi > Trả gốc từ tháng 2 năm 2024 đến tháng2 năm 2026. Trả lãi hàng quý hoặc sáu tháng một lần > Trả gốc từ tháng 8 năm 2025 đến tháng9 năm 2026. Trả lãi sáu tháng một lần > Trả gốc vào tháng 4 năm 2026. Trả lãi sáu tháng một lần. Trái chủ có thể thực hiện quyền chọn bán từ tháng 4 năm 2024. > Trả gốc từ tháng 5 đến tháng 6 năm 2027. Trả lãi sáu tháng một lần. Trái chủ có thể thực hiện quyền chọn bán từ tháng 4 năm 2024. > Trả gốc vào tháng 11 năm 2028. Trả lãi hàng quý. Trái chủ có thể thực hiện quyền chọn bán từ tháng 11 năm 2026.,"Lãi suất năm > Lãi suất thả nổi, lãi suất trong năm từ9,93%/năm đến11,63%/năm.Lãi suất cố định8,5%/năm > Lãi suất thả nổi, lãi suất trong năm từ14,5%/năm đến15%/năm > Lãi suất cố định3%/năm > Lãi suất cố định4%/năm > Lãi suất cố định10%/năm",numeric__Số cuối năm > Nguyên tệ > VND > USD,numeric__Số cuối năm > Triệu VND > 8.007.647 > 6.964.960 > 1.410.543 > 6.165.409 > 15.132.181 > 5.881.437,numeric__Kỳ hạn trả gốc và lãi > Trả gốc từ tháng 2 năm 2024 đến tháng2 năm 2026. Trả lãi hàng quý hoặc sáu tháng một lần > Trả gốc từ tháng 8 năm 2025 đến tháng9 năm 2026. Trả lãi sáu tháng một lần > Trả gốc vào tháng 4 năm 2026. Trả lãi sáu tháng một lần. Trái chủ có thể thực hiện quyền chọn bán từ tháng 4 năm 2024. > Trả gốc từ tháng 5 đến tháng 6 năm 2027. Trả lãi sáu tháng một lần. Trái chủ có thể thực hiện quyền chọn bán từ tháng 4 năm 2024. > Trả gốc vào tháng 11 năm 2028. Trả lãi hàng quý. Trái chủ có thể thực hiện quyền chọn bán từ tháng 11 năm 2026.,"numeric__Lãi suất năm > Lãi suất thả nổi, lãi suất trong năm từ9,93%/năm đến11,63%/năm.Lãi suất cố định8,5%/năm > Lãi suất thả nổi, lãi suất trong năm từ14,5%/năm đến15%/năm > Lãi suất cố định3%/năm > Lãi suất cố định4%/năm > Lãi suất cố định10%/năm"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,36.597.217,,,,36597217.0,,
Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,,8.334.667,,,,8334667.0,,
Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,,28.262.550,,,,28262550.0,,
