row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Công ty VinAcademy,Công ty VinAcademy,Công ty VinAcademy,Công ty con,Lãi vay phải trả,251.782,-,,,251782.0,
Công ty Xavinco,Công ty Xavinco,Công ty Xavinco,Công ty con,Lãi vay phải trả,102.237,-,,,102237.0,
Công ty Vinschool,Công ty Vinschool,Công ty Vinschool,Công ty con,Lãi vay phải trả,77.624,-,,,77624.0,
Công ty VinES Hà Tĩnh,Công ty VinES Hà Tĩnh,Công ty VinES Hà Tĩnh,Công ty con,Lãi vay phải trả,-,109.763,,,,109763.0
Công ty VinBigdata,Công ty VinBigdata,Công ty VinBigdata,Công ty con,Lãi vay phải trả,-,36.217,,,,36217.0
Công ty Vantix,Công ty Vantix,Công ty Vantix,Công ty con,Lãi vay phải trả,-,29.834,,,,29834.0
Công ty VinAI,Công ty VinAI,Công ty VinAI,Công ty con,Lãi vay phải trả,-,22.439,,,,22439.0
Công ty VinBrain,Công ty VinBrain,Công ty VinBrain,Công ty liên kết,Lãi vay phải trả,-,12.407,,,,12407.0
Các công ty khác,Các công ty khác,Các công ty khác,Công ty con,Lãi vay phải trả,81.099,17.302,,,81099.0,17302.0
,,,,,512.742,227.962,,,512742.0,227962.0
