row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Trích trước chi phí xây dựng bất động sản và chi phí phát triển bất động sản đã được bàn giao,Ngắn hạn > Trích trước chi phí xây dựng bất động sản và chi phí phát triển bất động sản đã được bàn giao,Trích trước chi phí xây dựng bất động sản và chi phí phát triển bất động sản đã được bàn giao,889.238,505.335,889238.0,505335.0
Chi phí lãi vay trích trước,Ngắn hạn > Chi phí lãi vay trích trước,Chi phí lãi vay trích trước,3.237.307,633.984,3237307.0,633984.0
Chi phí bán hàng trích trước,Ngắn hạn > Chi phí bán hàng trích trước,Chi phí bán hàng trích trước,92.525,284.593,92525.0,284593.0
Chi phí phải trả ngắn hạn khác,Ngắn hạn > Chi phí phải trả ngắn hạn khác,Chi phí phải trả ngắn hạn khác,24.638,21.871,24638.0,21871.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,4.243.708,1.445.783,4243708.0,1445783.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Chi phí phải trả khác,Trong đó: > Chi phí phải trả khác,Chi phí phải trả khác,3.730.966,1.217.821,3730966.0,1217821.0
Chi phí phải trả các bên liên quan(Thuyết minh số 33.2),Trong đó: > Chi phí phải trả các bên liên quan(Thuyết minh số 33.2),Chi phí phải trả các bên liên quan(Thuyết minh số 33.2),512.742,227.962,512742.0,227962.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí lãi vay trích trước phải trả các bên liên quan(Thuyết minh số 33.2),Dài hạn > Chi phí lãi vay trích trước phải trả các bên liên quan(Thuyết minh số 33.2),Chi phí lãi vay trích trước phải trả các bên liên quan(Thuyết minh số 33.2),164.798,437.008,164798.0,437008.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,164.798,437.008,164798.0,437008.0
