row_label_raw,row_label_full,col_0,Số đầu năm(Trình bày lại) > Giá trị đồng thời là số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Số đầu năm(Trình bày lại) > Giá trị đồng thời là số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Trải phiếu dài hạn đến hạn trả(Thuyết minh số 23.2.1),Vay ngắn hạn > Trải phiếu dài hạn đến hạn trả(Thuyết minh số 23.2.1),Trải phiếu dài hạn đến hạn trả(Thuyết minh số 23.2.1),-,34.372.550,(6.110.000),28.262.550,,34372550.0,-6110000.0,28262550.0
Vay dài hạn đến hạn trả của khoản vay hợp vốn(Thuyết minh số 23.2.2),Vay ngắn hạn > Vay dài hạn đến hạn trả của khoản vay hợp vốn(Thuyết minh số 23.2.2),Vay dài hạn đến hạn trả của khoản vay hợp vốn(Thuyết minh số 23.2.2),3.105.282,6.487.855,(3.070.736),6.522.401,3105282.0,6487855.0,-3070736.0,6522401.0
Khoản vay hợp vốn ngắn hạn(Thuyết minh số 23.1.2),Vay ngắn hạn > Khoản vay hợp vốn ngắn hạn(Thuyết minh số 23.1.2),Khoản vay hợp vốn ngắn hạn(Thuyết minh số 23.1.2),-,3.776.007,(1.339.970),2.436.037,,3776007.0,-1339970.0,2436037.0
Vay ngân hàng ngắn hạn(Thuyết minh số 23.1.1),Vay ngắn hạn > Vay ngân hàng ngắn hạn(Thuyết minh số 23.1.1),Vay ngân hàng ngắn hạn(Thuyết minh số 23.1.1),1.036.853,6.906.170,(5.591.531),2.351.492,1036853.0,6906170.0,-5591531.0,2351492.0
Vay các bên liên quan ngắn hạn(Thuyết minh số 33.4),Vay ngắn hạn > Vay các bên liên quan ngắn hạn(Thuyết minh số 33.4),Vay các bên liên quan ngắn hạn(Thuyết minh số 33.4),678.100,43.276.242,(42.325.197),1.629.145,678100.0,43276242.0,-42325197.0,1629145.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,4.820.235,94.818.824,(58.437.434),41.201.625,4820235.0,94818824.0,-58437434.0,41201625.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,
Khoản vay hợp vốn dài hạn(Thuyết minh số 23.2.2),Vay dài hạn > Khoản vay hợp vốn dài hạn(Thuyết minh số 23.2.2),Khoản vay hợp vốn dài hạn(Thuyết minh số 23.2.2),19.341.615,549.914,(6.432.626),13.458.903,19341615.0,549914.0,-6432626.0,13458903.0
Trải phiếu phát hành(Thuyết minh số 23.2.1),Vay dài hạn > Trải phiếu phát hành(Thuyết minh số 23.2.1),Trải phiếu phát hành(Thuyết minh số 23.2.1),33.928.700,7.616.188,(33.210.221),8.334.667,33928700.0,7616188.0,-33210221.0,8334667.0
Vay các bên liên quan dài hạn(Thuyết minh số 33.4),Vay dài hạn > Vay các bên liên quan dài hạn(Thuyết minh số 33.4),Vay các bên liên quan dài hạn(Thuyết minh số 33.4),7.948.717,4.291.963,(10.748.487),1.492.193,7948717.0,4291963.0,-10748487.0,1492193.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,61.219.032,12.458.065,(50.391.334),23.285.763,61219032.0,12458065.0,-50391334.0,23285763.0
