row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Công ty VinFast,Công ty VinFast,Công ty VinFast,Công ty con,Lãi vay phải thu,805.625,-,,,805625.0,
Công ty VinFast,Công ty VinFast,Công ty VinFast,Công ty con,Phải thu do chi hộ,104.763,91.179,,,104763.0,91179.0
Công ty Vinmec,Công ty Vinmec,Công ty Vinmec,Công ty con,Lãi vay phải thu,665.547,318.601,,,665547.0,318601.0
Công ty Vinmec,Công ty Vinmec,Công ty Vinmec,Công ty con,"Phải thu từ cung cấp hàng hóa, dịch vụ",52.995,53.489,,,52995.0,53489.0
Công ty Vinmec,Công ty Vinmec,Công ty Vinmec,Công ty con,Phải thu do chi hộ,2.799,4.494,,,2799.0,4494.0
Công ty VinES,Công ty VinES,Công ty VinES,Công ty con,Lãi vay phải thu,200.478,459.393,,,200478.0,459393.0
Công ty Vingroup Investment,Công ty Vingroup Investment,Công ty Vingroup Investment,Công ty con,Lãi vay phải thu,124.925,-,,,124925.0,
Công ty VinES Hà Tĩnh,Công ty VinES Hà Tĩnh,Công ty VinES Hà Tĩnh,Công ty con,Lãi vay phải thu,68.681,-,,,68681.0,
Công ty Vinhomes,Công ty Vinhomes,Công ty Vinhomes,Công ty con,"Phải thu từ cung cấp hàng hóa, dịch vụ",21.714,161.432,,,21714.0,161432.0
Công ty Vinsmart,Công ty Vinsmart,Công ty Vinsmart,Công ty con,Lãi vay phải thu,-,134.065,,,,134065.0
Công ty Vinsmart,Công ty Vinsmart,Công ty Vinsmart,Công ty con,Phải thu khác,-,577,,,,577.0
Công ty Thái Sơn,Công ty Thái Sơn,Công ty Thái Sơn,Công ty con,"Phải thu từ cung cấp hàng hóa, dịch vụ",-,84.108,,,,84108.0
Công ty SADO,Công ty SADO,Công ty SADO,Công ty con,Lãi vay phải thu,-,224.768,,,,224768.0
Công ty Vinpearl,Công ty Vinpearl,Công ty Vinpearl,Công ty con,Lãi vay phải thu,-,9.538,,,,9538.0
Công ty Vinpearl,Công ty Vinpearl,Công ty Vinpearl,Công ty con,Phải thu chi hộ,-,65.044,,,,65044.0
Công ty Vinpearl,Công ty Vinpearl,Công ty Vinpearl,Công ty con,Phải thu khác,-,4.208,,,,4208.0
Công ty VinTech,Công ty VinTech,Công ty VinTech,Công ty con,Lãi vay phải thu,-,206.531,,,,206531.0
Các công ty khác,Các công ty khác,Các công ty khác,Công ty con,Phải thu khác,27.437,167.006,,,27437.0,167006.0
,,,,,2.074.964,1.984.433,,,2074964.0,1984433.0
