row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi sổ,Đơn vị tính: triệu VND > Số đầu năm,Đơn vị tính: triệu VND > Số đầu năm_1,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi sổ,numeric__Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số đầu năm_1
Tiền gửi có kỳ hạn (*),Tiền gửi có kỳ hạn (*),Tiền gửi có kỳ hạn (*),400.321,400.321,11.273,11.273,400321.0,400321.0,11273.0,11273.0
Khoản đầu tư khác,Khoản đầu tư khác,Khoản đầu tư khác,-,-,20.000,20.000,,,20000.0,20000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,400.321,400.321,31.273,31.273,400321.0,400321.0,31273.0,31273.0
