row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
,,,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
31,31,31,"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",25.1,97.260,-,,251.0,97260.0,
33,33,33,Tiền thu từ đi vay,34,25.107.574,35.856.453,,34.0,25107574.0,35856453.0
34,34,34,Tiền trả nợ gốc vay,34,(26.277.231),(25.773.017),,34.0,-26277231.0,-25773017.0
36,36,36,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",25.1,(60.950),-,,251.0,-60950.0,
40,40,40,Lưu chuyển tiền thuần (sử dụng vào)/từ hoạt động tài chính,,(1.133.347),10.083.436,,,-1133347.0,10083436.0
50,50,50,Lưu chuyển tiền thuần trong năm,,1.165.217,(2.966.067),,,1165217.0,-2966067.0
60,60,60,Tiền và tương đương tiền đầu năm,,1.418.552,4.383.891,,,1418552.0,4383891.0
61,61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,(2.096),728,,,-2096.0,728.0
70,70,70,Tiền và tương đương tiền cuối năm,4,2.581.673,1.418.552,,4.0,2581673.0,1418552.0
