row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm (Trình bày lại),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Trình bày lại)
300,300,300,C. NỘ PHẢI TRẢ,,200.150.409,164.476.909,,,200150409.0,164476909.0
310,310,310,I. Nợ ngắn hạn,,80.849.179,40.367.956,,,80849179.0,40367956.0
311,311,311,1. Phải trả người bán ngắn hạn,18,1.928.613,2.421.744,,18.0,1928613.0,2421744.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,19,10.254.165,9.967.944,,19.0,10254165.0,9967944.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,20,315.770,245.564,,20.0,315770.0,245564.0
314,314,314,4. Phải trả người lao động,,33.407,28.852,,,33407.0,28852.0
315,315,315,5. Chi phí phải trả ngắn hạn,21,4.243.708,1.445.783,,21.0,4243708.0,1445783.0
319,319,319,6. Phải trả ngắn hạn khác,22,22.830.319,21.421.870,,22.0,22830319.0,21421870.0
320,320,320,7. Vay và nợ ngắn hạn,23,41.201.625,4.820.235,,23.0,41201625.0,4820235.0
321,321,321,8. Dự phòng phải trả ngắn hạn,,41.572,15.964,,,41572.0,15964.0
330,330,330,II. Nợ dài hạn,,119.301.230,124.108.953,,,119301230.0,124108953.0
333,333,333,1. Chi phí phải trả dài hạn,21,164.798,437.008,,21.0,164798.0,437008.0
336,336,336,2. Doanh thu chưa thực hiện dài hạn,,3.857,5.467,,,3857.0,5467.0
337,337,337,3. Phải trả dài hạn khác,22,95.788.709,62.428.700,,22.0,95788709.0,62428700.0
338,338,338,4. Vay và nợ dài hạn,23,23.285.763,61.219.032,,23.0,23285763.0,61219032.0
342,342,342,5. Dự phòng phải trả dài hạn,24,58.103,18.746,,24.0,58103.0,18746.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,87.495.491,85.690.567,,,87495491.0,85690567.0
410,410,410,I. Vốn chủ sở hữu,25,87.495.491,85.690.567,,25.0,87495491.0,85690567.0
411,411,411,1. Vốn cổ phần đã phát hành,,38.785.833,38.688.573,,,38785833.0,38688573.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,38.236.616,38.139.356,,,38236616.0,38139356.0
411b,411b,411b,- Cổ phiếu ưu đãi,,549.217,549.217,,,549217.0,549217.0
412,412,412,2. Thặng dư vốn cổ phần,,39.140.273,39.140.273,,,39140273.0,39140273.0
420,420,420,3. Quỹ khác thuộc vốn chủ sở hữu,,66.000,61.000,,,66000.0,61000.0
421,421,421,4. Lợi nhuận sau thuế chưa phân phối,,9.503.385,7.800.721,,,9503385.0,7800721.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,,7.795.721,6.333.171,,,7795721.0,6333171.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm nay,,1.707.664,1.467.550,,,1707664.0,1467550.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,287.645.900,250.167.476,,,287645900.0,250167476.0
