row_label_raw,row_label_full,Tên đơn vị,Thuyết minh,Số cuối năm > Số lượng cổ phần,Số cuối năm > Giá trị ghi sổ (triệu VND),Số cuối năm > Giá trị hợp lý (triệu VND),Số cuối năm > Tỷ lệ vốn năm giữ trực tiếp (iii),Số đầu năm > Số lượng cổ phần,Số đầu năm > Giá trị ghi sổ (triệu VND),Số đầu năm > Giá trị hợp lý (triệu VND),Số đầu năm > Tỷ lệ vốn năm giữ trực tiếp (iii),numeric__Thuyết minh,numeric__Số cuối năm > Số lượng cổ phần,numeric__Số cuối năm > Giá trị ghi sổ (triệu VND),numeric__Số cuối năm > Giá trị hợp lý (triệu VND),numeric__Số cuối năm > Tỷ lệ vốn năm giữ trực tiếp (iii),numeric__Số đầu năm > Số lượng cổ phần,numeric__Số đầu năm > Giá trị ghi sổ (triệu VND),numeric__Số đầu năm > Giá trị hợp lý (triệu VND),numeric__Số đầu năm > Tỷ lệ vốn năm giữ trực tiếp (iii)
Công ty VinFast,Công ty VinFast,Công ty VinFast,(1),(iv),65.729.073,(ii),(iv),(iv),65.729.073,(ii),(iv),-1.0,,65729073.0,,,,65729073.0,,
Công ty Ngoc Việt,Công ty Ngoc Việt,Công ty Ngoc Việt,(6),2.041.175.788,30.099.268,(ii),"99,96%",-,-,-,-,-6.0,2041175788.0,30099268.0,,0.9995999999999999,,,,
Công ty Vinhomes,Công ty Vinhomes,Công ty Vinhomes,(2),3.019.227.680,27.875.791,130.430.636,"69,34%",2.902.482.480,21.991.675,148.712.648,"66,66%",-2.0,3019227680.0,27875791.0,130430636.0,0.6934,2902482480.0,21991675.0,148712648.0,0.6666
Công ty Vinpearl,Công ty Vinpearl,Công ty Vinpearl,(6),1.473.520.957,17.126.890,(ii),"97,96%",2.652.332.166,38.033.564,(ii),"99,99%",-6.0,1473520957.0,17126890.0,,0.9795999999999999,2652332166.0,38033564.0,,0.9998999999999999
Công ty Vinsmart,Công ty Vinsmart,Công ty Vinsmart,,859.526.500,8.595.265,(ii),"82,65%",859.526.500,8.595.265,(ii),"82,65%",,859526500.0,8595265.0,,0.8265,859526500.0,8595265.0,,0.8265
Công ty VMC Holding,Công ty VMC Holding,Công ty VMC Holding,(2),596.658.288,5.966.583,(ii),"75,00%",592.811.488,5.928.115,(ii),"74,52%",-2.0,596658288.0,5966583.0,,0.75,592811488.0,5928115.0,,0.7452
Công ty Grand Prix,Công ty Grand Prix,Công ty Grand Prix,(3),(i),4.086.998,(ii),"100,00%",(i),3.699.424,(ii),"100,00%",-3.0,,4086998.0,,1.0,,3699424.0,,1.0
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,,427.715.101,3.501.335,9.965.762,"18,82%",427.715.101,3.501.335,11.812.713,"18,82%",,427715101.0,3501335.0,9965762.0,0.1882,427715101.0,3501335.0,11812713.0,0.1882
Công ty VinES,Công ty VinES,Công ty VinES,(3),331.500.000,3.315.000,(ii),"51,00%",137.700.000,1.377.000,(ii),"51,00%",-3.0,331500000.0,3315000.0,,0.51,137700000.0,1377000.0,,0.51
Công ty Xavinco,Công ty Xavinco,Công ty Xavinco,,190.875.000,2.071.029,(ii),"95,44%",190.875.000,2.071.029,(ii),"95,44%",,190875000.0,2071029.0,,0.9544,190875000.0,2071029.0,,0.9544
Công ty Vinpearl Cửa Hội,Công ty Vinpearl Cửa Hội,Công ty Vinpearl Cửa Hội,(6),126.370.900,1.855.145,(ii),"99,92%",-,-,-,-,-6.0,126370900.0,1855145.0,,0.9992,,,,
Công ty VinAcademy,Công ty VinAcademy,Công ty VinAcademy,,(i),1.776.641,(ii),"98,70%",(i),1.776.641,(ii),"98,70%",,,1776641.0,,0.987,,1776641.0,,0.987
Công ty Triển lâm Việt Nam,Công ty Triển lâm Việt Nam,Công ty Triển lâm Việt Nam,,138.810.945,1.395.330,15.977.140,"83,32%",138.810.945,1.395.330,9.259.321,"83,32%",,138810945.0,1395330.0,15977140.0,0.8331999999999999,138810945.0,1395330.0,9259321.0,0.8331999999999999
Công ty SDI,Công ty SDI,Công ty SDI,(7),137.216.530,1.372.165,(ii),"15,77%",-,-,-,-,-7.0,137216530.0,1372165.0,,0.1577,,,,
Công ty VinFast Auto,Công ty VinFast Auto,Công ty VinFast Auto,(5),1.185.010.424,450.293,238.838.377,"50,69%",1.243.154.485,450.293,(ii),"51,52%",-5.0,1185010424.0,450293.0,238838377.0,0.5069,1243154485.0,450293.0,,0.5152
Công ty SADO,Công ty SADO,Công ty SADO,(2); (3); (4); (7),-,-,-,-,438.271.542,3.171.035,(ii),"59,52%",,,,,,438271542.0,3171035.0,,0.5952000000000001
Các công ty con khác,Các công ty con khác,Các công ty con khác,(2); (3); (8),,5.608.747,,,,5.735.020,,,,,5608747.0,,,,5735020.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,180.825.553,,,,163.454.799,,,,,180825553.0,,,,163454799.0,,
Dự phòng đầu tư vào công ty con (v),Dự phòng đầu tư vào công ty con (v),Dự phòng đầu tư vào công ty con (v),,,(24.656.169),,,,(28.531.365),,,,,-24656169.0,,,,-28531365.0,,
