row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Công ty Vinhomes,Công ty Vinhomes,Công ty Vinhomes,Công ty con,Nhận góp vốn cho mục đích hợp tác đầu tưĐặt cọc cho mục đích chuyển nhượng khoản đầu tư,66.341.882-,35.002.000199.700,,,,35002000199700.0
Công ty Thái Sơn,Công ty Thái Sơn,Công ty Thái Sơn,Công ty con,Đặt cọc cho mục đích chuyển nhượng khoản đầu tư,10.320.495,10.320.495,,,10320495.0,10320495.0
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Công ty con,Đặt cọc cho mục đích hợp tác đầu tư (*),8.166.073,3.622.350,,,8166073.0,3622350.0
Công ty ĐTĐH Berjaya,Công ty ĐTĐH Berjaya,Công ty ĐTĐH Berjaya,Công ty con,Đặt cọc cho mục đích chuyển nhượng khoản đầu tư,2.863.125,2.863.125,,,2863125.0,2863125.0
Công ty Vinschool,Công ty Vinschool,Công ty Vinschool,Công ty con,Đặt cọc cho mục đích hợp tác đầu tư,1.301.429,800.000,,,1301429.0,800000.0
Công ty Vinpearl,Công ty Vinpearl,Công ty Vinpearl,Công ty con,Đặt cọc cho mục đích hợp tác đầu tư,689.106,-,,,689106.0,
Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty con,Đặt cọc cho mục đích hợp tác đầu tư,267.268,-,,,267268.0,
Công ty Vinsmart,Công ty Vinsmart,Công ty Vinsmart,Công ty con,Đặt cọc cho mục đích bảo lãnh,82.287,111.735,,,82287.0,111735.0
Công ty Thành Phố Xanh,Công ty Thành Phố Xanh,Công ty Thành Phố Xanh,Công ty con,Đặt cọc cho mục đích hợp tác đầu tư,-,8.568.649,,,,8568649.0
,,,,,90.031.665,61.488.054,,,90031665.0,61488054.0
