row_label_raw,row_label_full,col_0,Giá trị số kế toán > 31/12/2015,Giá trị số kế toán > 01/01/2015,numeric__Giá trị số kế toán > 31/12/2015,numeric__Giá trị số kế toán > 01/01/2015
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,VND,VND,,
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,56.700.000.000,150.372.069.230,56700000000.0,150372069230.0
"Phải trả người bán, phải trả khác","Nợ phải trả tài chính > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",96.524.155.761,53.224.168.404,96524155761.0,53224168404.0
Chỉ phí phải trả,Nợ phải trả tài chính > Chỉ phí phải trả,Chỉ phí phải trả,7.378.756.313,7.177.477.763,7378756313.0,7177477763.0
,,,160.602.912.074,210.773.715.397,160602912074.0,210773715397.0
