row_label_raw,row_label_full,col_0,01/01/2015 > Giá trị,01/01/2015 > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,31/12/2015 > Giá trị,31/12/2015 > Số có khả năng trả nợ,numeric__01/01/2015 > Giá trị,numeric__01/01/2015 > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__31/12/2015 > Giá trị,numeric__31/12/2015 > Số có khả năng trả nợ
,,,VND,VND,VND,VND,VND,VND,,,,,,
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,,,,,,
- Vay ngắn hạn,a) Vay ngắn hạn > - Vay ngắn hạn,- Vay ngắn hạn,67.672.069.230,67.672.069.230,62.820.250.130,(130.492.319.360),-,-,67672069230.0,67672069230.0,62820250130.0,-130492319360.0,,
Ngân hàng Phát triển Thái Nguyên (1),a) Vay ngắn hạn > Ngân hàng Phát triển Thái Nguyên (1),Ngân hàng Phát triển Thái Nguyên (1),2.387.458.441,2.387.458.441,-,(2.387.458.441),-,-,2387458441.0,2387458441.0,,-2387458441.0,,
Ngân hàng Nông nghiệp và Phát triển Nông thôn - Chi nhánh Hoàng Mai (2),a) Vay ngắn hạn > Ngân hàng Nông nghiệp và Phát triển Nông thôn - Chi nhánh Hoàng Mai (2),Ngân hàng Nông nghiệp và Phát triển Nông thôn - Chi nhánh Hoàng Mai (2),64.208.718.572,64.208.718.572,62.820.250.130,(127.028.968.702),-,-,64208718572.0,64208718572.0,62820250130.0,-127028968702.0,,
Khoản vay Quỹ đất CBCNV từ năm 1995 (3),a) Vay ngắn hạn > Khoản vay Quỹ đất CBCNV từ năm 1995 (3),Khoản vay Quỹ đất CBCNV từ năm 1995 (3),859.347.417,859.347.417,-,(859.347.417),-,-,859347417.0,859347417.0,,-859347417.0,,
Vay các cá nhân (4),a) Vay ngắn hạn > Vay các cá nhân (4),Vay các cá nhân (4),216.544.800,216.544.800,-,(216.544.800),-,-,216544800.0,216544800.0,,-216544800.0,,
- Vay và nợ dài hạn đến hạn trả,a) Vay ngắn hạn > - Vay và nợ dài hạn đến hạn trả,- Vay và nợ dài hạn đến hạn trả,26.000.000.000,26.000.000.000,25.000.000.000,(26.000.000.000),25.000.000.000,25.000.000.000,26000000000.0,26000000000.0,25000000000.0,-26000000000.0,25000000000.0,25000000000.0
Ngân hàng Phát triển Gia Lai,a) Vay ngắn hạn > Ngân hàng Phát triển Gia Lai,Ngân hàng Phát triển Gia Lai,26.000.000.000,26.000.000.000,25.000.000.000,(26.000.000.000),25.000.000.000,25.000.000.000,26000000000.0,26000000000.0,25000000000.0,-26000000000.0,25000000000.0,25000000000.0
,,,93.672.069.230,93.672.069.230,87.820.250.130,(156.492.319.360),25.000.000.000,25.000.000.000,93672069230.0,93672069230.0,87820250130.0,-156492319360.0,25000000000.0,25000000000.0
b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,,,,,,
- Vay dài hạn,b) Vay dài hạn > - Vay dài hạn,- Vay dài hạn,82.700.000.000,82.700.000.000,-,26.000.000.000,56.700.000.000,56.700.000.000,82700000000.0,82700000000.0,,26000000000.0,56700000000.0,56700000000.0
Ngân hàng Phát triển Gia Lai (1),b) Vay dài hạn > Ngân hàng Phát triển Gia Lai (1),Ngân hàng Phát triển Gia Lai (1),82.700.000.000,82.700.000.000,,26.000.000.000,56.700.000.000,56.700.000.000,82700000000.0,82700000000.0,,26000000000.0,56700000000.0,56700000000.0
,,,82.700.000.000,82.700.000.000,-,26.000.000.000,56.700.000.000,56.700.000.000,82700000000.0,82700000000.0,,26000000000.0,56700000000.0,56700000000.0
Khoản đến hạn trả trong vòng 12 tháng,b) Vay dài hạn > Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,(26.000.000.000),(26.000.000.000),(25.000.000.000),26.000.000.000,(25.000.000.000),(25.000.000.000),-26000000000.0,-26000000000.0,-25000000000.0,26000000000.0,-25000000000.0,-25000000000.0
Khoản đến hạn trả sau 12 tháng,b) Vay dài hạn > Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,56.700.000.000,56.700.000.000,,,31.700.000.000,31.700.000.000,56700000000.0,56700000000.0,,,31700000000.0,31700000000.0
