row_label_raw,row_label_full,col_0,Vốn đầu tư của CSH,Chênh lệch đánh giá lại tài sản,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Quỹ hỗ trợ sắp xếp doanh,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn đầu tư của CSH,numeric__Chênh lệch đánh giá lại tài sản,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Quỹ hỗ trợ sắp xếp doanh,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,1.938.999.963.044,-,-,143.525.048.280,48.615.858.659,102.295.851.932,2.233.436.721.915,1938999963044.0,,,143525048280.0,48615858659.0,102295851932.0,2233436721915.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,-,-,-,-,-,-,-,,,,,,,
Lãi/(lỗ) trong năm trước,Tăng vốn trong năm trước > Lãi/(lỗ) trong năm trước,Lãi/(lỗ) trong năm trước,-,-,-,-,-,155.979.030.077,155.979.030.077,,,,,,155979030077.0,155979030077.0
Lãi tài khoản quỹ hỗ trợ sắp xếp doanh nghiệp của TCT,Tăng vốn trong năm trước > Lãi tài khoản quỹ hỗ trợ sắp xếp doanh nghiệp của TCT,Lãi tài khoản quỹ hỗ trợ sắp xếp doanh nghiệp của TCT,-,-,-,-,2.070.464.606,-,2.070.464.606,,,,,2070464606.0,,2070464606.0
Phân phối lợi nhuận,Tăng vốn trong năm trước > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,1.488.707.884,-,-,-,1.488.707.884,,,1488707884.0,,,,1488707884.0
Giảm vốn trong năm trước,Tăng vốn trong năm trước > Giảm vốn trong năm trước,Giảm vốn trong năm trước,(3.166.361.369),-,-,-,-,-,(3.166.361.369),-3166361369.0,,,,,,-3166361369.0
Phân phối lợi nhuận,Tăng vốn trong năm trước > Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,46.793.709.023,-,(68.053.875.543),(21.260.166.520),,,,46793709023.0,,-68053875543.0,-21260166520.0
Kết chuyển đánh giá CLTG,Tăng vốn trong năm trước > Kết chuyển đánh giá CLTG,Kết chuyển đánh giá CLTG,-,-,(1.488.707.884),-,-,-,(1.488.707.884),,,-1488707884.0,,,,-1488707884.0
Nộp lợi nhuận vào NSNN,Tăng vốn trong năm trước > Nộp lợi nhuận vào NSNN,Nộp lợi nhuận vào NSNN,-,-,-,-,-,(190.221.006.466),(190.221.006.466),,,,,,-190221006466.0,-190221006466.0
Giảm khác,Tăng vốn trong năm trước > Giảm khác,Giảm khác,-,-,-,-,(2.768.829),-,(2.768.829),,,,,-2768829.0,,-2768829.0
Số dư cuối năm trước,Tăng vốn trong năm trước > Số dư cuối năm trước,Số dư cuối năm trước,1.935.833.601.675,-,-,190.318.757.303,50.683.554.436,-,2.176.835.913.414,1935833601675.0,,,190318757303.0,50683554436.0,,2176835913414.0
Số dư đầu năm nay,Tăng vốn trong năm trước > Số dư đầu năm nay,Số dư đầu năm nay,1.935.833.601.675,-,-,190.318.757.303,50.683.554.436,-,2.176.835.913.414,1935833601675.0,,,190318757303.0,50683554436.0,,2176835913414.0
Lãi/(lỗ) trong năm nay,Tăng vốn trong năm trước > Lãi/(lỗ) trong năm nay,Lãi/(lỗ) trong năm nay,-,-,-,-,-,158.878.371.708,158.878.371.708,,,,,,158878371708.0,158878371708.0
Nhận bản giao công ty TNHH MTV Lâm nghiệp Đình Lập và Lộc Bình,Tăng vốn trong năm trước > Nhận bản giao công ty TNHH MTV Lâm nghiệp Đình Lập và Lộc Bình,Nhận bản giao công ty TNHH MTV Lâm nghiệp Đình Lập và Lộc Bình,31.000.000.000,-,-,-,-,-,31.000.000.000,31000000000.0,,,,,,31000000000.0
Đánh giá chênh lệch tỷ giá,Tăng vốn trong năm trước > Đánh giá chênh lệch tỷ giá,Đánh giá chênh lệch tỷ giá,-,-,1.037.973.543,-,-,-,1.037.973.543,,,1037973543.0,,,,1037973543.0
Tăng theo XDGTDN,Tăng vốn trong năm trước > Tăng theo XDGTDN,Tăng theo XDGTDN,75.746.375.066,1.263.258.289.304,-,-,-,-,1.339.004.664.370,75746375066.0,1263258289304.0,,,,,1339004664370.0
Lãi tài khoản quỹ hỗ trợ sắp xếp doanh nghiệp của TCT,Tăng vốn trong năm trước > Lãi tài khoản quỹ hỗ trợ sắp xếp doanh nghiệp của TCT,Lãi tài khoản quỹ hỗ trợ sắp xếp doanh nghiệp của TCT,-,-,-,-,2.428.905.506,-,2.428.905.506,,,,,2428905506.0,,2428905506.0
Bản giao công ty TNHH MTV Lâm nghiệp Sóc Trăng,Tăng vốn trong năm trước > Bản giao công ty TNHH MTV Lâm nghiệp Sóc Trăng,Bản giao công ty TNHH MTV Lâm nghiệp Sóc Trăng,(35.430.000.000),-,-,-,-,-,(35.430.000.000),-35430000000.0,,,,,,-35430000000.0
Giảm theo XDGTDN,Tăng vốn trong năm trước > Giảm theo XDGTDN,Giảm theo XDGTDN,(18.217.011),(5.703.966.929),-,-,(50.683.554.436),-,(56.405.738.376),-18217011.0,-5703966929.0,,,-50683554436.0,,-56405738376.0
