row_label_raw,row_label_full,Tại ngày 31/12/2015,Từ 1 năm trở xuống > VND,Trên 1 năm đến 5 năm > VND,Trên 5 năm > VND,Cộng > VND,numeric__Từ 1 năm trở xuống > VND,numeric__Trên 1 năm đến 5 năm > VND,numeric__Trên 5 năm > VND,numeric__Cộng > VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,233.889.066.544,-,-,233.889.066.544,233889066544.0,,,233889066544.0
"Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",111.578.910 605,4.156.580.351,-,115.735.490.956,,4156580351.0,,115735490956.0
Các khoản cho vay,Các khoản cho vay,Các khoản cho vay,29.446.180.274,83.267.536.900,-,112.713.717.174,29446180274.0,83267536900.0,,112713717174.0
Đầu tư ngắn hạn,Đầu tư ngắn hạn,Đầu tư ngắn hạn,1.073.390.507.914,-,-,1.073.390.507.914,1073390507914.0,,,1073390507914.0
Đầu tư dài hạn,Đầu tư dài hạn,Đầu tư dài hạn,-,36.291.154.538,-,36.291.154.538,,36291154538.0,,36291154538.0
,,,1.448.304.665.337,123.715.271.789,-,1.572.019.937.126,1448304665337.0,123715271789.0,,1572019937126.0
Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,,,,
Tiền và các khoản tương đương tiền,Tại ngày 01/01/2015 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,51.168.854.869,-,-,51.168.854.869,51168854869.0,,,51168854869.0
"Phải thu khách hàng, phải thu khác","Tại ngày 01/01/2015 > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",102.407.243.804,2.356.581.892,-,104.763.825.696,102407243804.0,2356581892.0,,104763825696.0
Các khoản cho vay,Tại ngày 01/01/2015 > Các khoản cho vay,Các khoản cho vay,558.180.274,86.233.948.000,-,86.792.128.274,558180274.0,86233948000.0,,86792128274.0
Đầu tư ngắn hạn,Tại ngày 01/01/2015 > Đầu tư ngắn hạn,Đầu tư ngắn hạn,995.250.500.000,-,-,995.250.500.000,995250500000.0,,,995250500000.0
Đầu tư dài hạn,Tại ngày 01/01/2015 > Đầu tư dài hạn,Đầu tư dài hạn,-,37.267.574.882,-,37.267.574.882,,37267574882.0,,37267574882.0
,,,1.149.384.778.947,125.858.104.774,-,1.275.242.883.721,1149384778947.0,125858104774.0,,1275242883721.0
