row_label_raw,row_label_full,Mã số,Tên khoản mục,Số tiền,Mã số_1,Tên khoản mục_1,Số tiền_1,Thay đổi,numeric__Tên khoản mục,numeric__Số tiền,numeric__Mã số_1,numeric__Tên khoản mục_1,numeric__Số tiền_1,numeric__Thay đổi
,,,a/ Bằng Cân đối kế toán,,,a/ Bằng Cân đối kế toán,,,,,,,,
121,121,121,Đầu tư ngắn hạn,995.808.680.274,,,,995.808.680.274,,995808680274.0,,,,995808680274.0
129,129,129,Dự phòng giảm giá đầu tư ngắn hạn,-,,,,-,,,,,,
,,,,-,121,Chứng khoán kinh doanh,-,-,,,121.0,,,
,,,,-,122,Dự phòng giảm giá chứng khoán kinh doanh,-,-,,,122.0,,,
,,,,-,123,Đầu tư nằm giữ đến ngày đáo hạn,995.250.500.000,(995.250.500.000),,,123.0,,995250500000.0,-995250500000.0
131,129 > 131,131,Phải thu khách hàng,49.266.995.830,131,Phải thu ngắn hạn khách hàng,49.266.995.830,-,,49266995830.0,131.0,,49266995830.0,
132,129 > 132,132,Trả trước cho người bán,40.090.253.029,132,Trả trước cho người bán ngắn hạn,40.090.253.029,-,,40090253029.0,132.0,,40090253029.0,
,,,,-,135,Phải thu về cho vay ngắn hạn,558.180.274,(558.180.274),,,135.0,,558180274.0,-558180274.0
135,129 > 135,135,Các khoản phải thu khác,36.269.914.516,136,Phải thu ngắn hạn khác,53.140.247.974,(16.870.333.458),,36269914516.0,136.0,,53140247974.0,-16870333458.0
139,129 > 139,139,Dự phòng phải thu ngắn hạn khó đòi,-,137,Dự phòng phải thu ngắn hạn khó đòi,-,-,,,137.0,,,
,,,,-,139,Tài sản thiếu chờ xử lý,380.268.036,(380.268.036),,,139.0,,380268036.0,-380268036.0
140,129 > 140,140,Hàng tồn kho,298.299.188.239,140,Hàng tồn kho,294.679.120.232,3.620.068.007,,298299188239.0,140.0,,294679120232.0,3620068007.0
154,129 > 154,154,Thuế và các khoản khác phải thu Nhà nước,478.161.383,153,Thuế và các khoản khác phải thu Nhà nước,478.161.383,-,,478161383.0,153.0,,478161383.0,
158,129 > 158,158,Tài sản ngắn hạn khác,17.250.601.494,155,Tài sản ngắn hạn khác,-,17.250.601.494,,17250601494.0,155.0,,,17250601494.0
,,,,-,215,Phải thu về cho vay dài hạn,86.233.948.000,(86.233.948.000),,,215.0,,86233948000.0,-86233948000.0
218,129 > 218,218,Phải thu dài hạn khác,453.887.409,216,Phải thu dài hạn khác,2.356.581.892,(1.902.694.483),,453887409.0,216.0,,2356581892.0,-1902694483.0
230,129 > 230,230,Chi phí xây dựng cơ bản dở dang,106.238.182,242,Chi phí xây dựng cơ bản dở dang,106.238.182,-,,106238182.0,242.0,,106238182.0,
258,129 > 258,258,Đầu tư dài hạn khác,123.501.522.882,253,Đầu tư góp vốn vào đơn vị khác,37.267.574.882,86.233.948.000,,123501522882.0,253.0,,37267574882.0,86233948000.0
,,,,,263,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",3.620.068.007,(3.620.068.007),,,263.0,,3620068007.0,-3620068007.0
268,129 > 268,268,Tài sản dài hạn khác,1.902.694.483,268,Tài sản dài hạn khác,-,1.902.694.483,,1902694483.0,268.0,,,1902694483.0
259,129 > 259,259,Dự phòng giảm giá đầu tư tài chính dài hạn,(24.623.653.804),254,Dự phòng đầu tư tài chính dài hạn,(24.623.653.804),-,,-24623653804.0,254.0,,-24623653804.0,
,,,,-,255,Đầu tư nằm giữ đến ngày đáo hạn,-,-,,,255.0,,,
