row_label_raw,row_label_full,MãMãSố,CHỈ TIẾUTÀI SẢN,Thuyếtthuyếtmlnh,Tổng cộng,Loại trừ nội bộ,Tổng Cộng,Văn phòng TổngCông ty,Khách sạn ĐồSon,Công ty Lâmsản Giáp Bát,Công ty Lâmnghiệp HàTỉnh,Công ty Lâmnghiệp TháiNguyễn,Công ty MDFGia Lai,numeric__CHỈ TIẾUTÀI SẢN,numeric__Thuyếtthuyếtmlnh,numeric__Tổng cộng,numeric__Loại trừ nội bộ,numeric__Tổng Cộng,numeric__Văn phòng TổngCông ty,numeric__Khách sạn ĐồSon,numeric__Công ty Lâmsản Giáp Bát,numeric__Công ty Lâmnghiệp HàTỉnh,numeric__Công ty Lâmnghiệp TháiNguyễn,numeric__Công ty MDFGia Lai
MãMãSố,MãMãSố,MãMãSố,CHỈ TIẾUTÀI SẢN,Thuyếtthuyếtmlnh,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,,,
100 A.,MãMãSố > 100 A.,100 A.,TÀI SẢN NGẮN HẠN,,1.712.493.371.916,(30.889.128.240),1.743.382.500.156,1.569.258.288.656,2.898.559.377,12.982.822.963,10.544.077.947,17.739.619.115,129.959.132.098,,,1712493371916.0,-30889128240.0,1743382500156.0,1569258288656.0,2898559377.0,12982822963.0,10544077947.0,17739619115.0,129959132098.0
,,,,,-,-,-,,,,,,,,,,,,,,,,,
110 I.,MãMãSố > 110 I.,110 I.,Tiền và các khoản tương đương tiền,,233.889.066.544,-,233.889.066.544,216.595.221.840,147.458.886,4.989.508.249,2.065.446.332,1.352.650.043,8.738.781.194,,,233889066544.0,,233889066544.0,216595221840.0,147458886.0,4989508249.0,2065446332.0,1352650043.0,8738781194.0
111 1.,MãMãSố > 111 1.,111 1.,Tiền,,34.889.066.544,-,34.889.066.544,21.595.221.840,147.458.886,1.989.508.249,2.065.446.332,352.650.043,8.738.781.194,,,34889066544.0,,34889066544.0,21595221840.0,147458886.0,1989508249.0,2065446332.0,352650043.0,8738781194.0
112 2.,MãMãSố > 112 2.,112 2.,Các khoản tương đương tiền,,199.000.000.000,-,199.000.000.000,195.000.000.000,-,3.000.000.000,-,1.000.000.000,-,,,199000000000.0,,199000000000.0,195000000000.0,,3000000000.0,,1000000000.0,
,,,,,-,-,-,,,,,,,,,,,,,,,,,
120 II.,MãMãSố > 120 II.,120 II.,Dầu tư tài chính ngắn hạn,,1.080.690.507.914,-,1.080.690.507.914,1.073.390.507.914,-,-,-,500.000.000,6.800.000.000,,,1080690507914.0,,1080690507914.0,1073390507914.0,,,,500000000.0,6800000000.0
123 1.,MãMãSố > 123 1.,123 1.,Dầu tư nằm giữ đến ngày đáo hạn,,1.080.690.507.914,-,1.080.690.507.914,1.073.390.507.914,-,-,-,500.000.000,6.800.000.000,,,1080690507914.0,,1080690507914.0,1073390507914.0,,,,500000000.0,6800000000.0
,,,,,-,-,-,,,,,,,,,,,,,,,,,
130 II.,MãMãSố > 130 II.,130 II.,Các khoản phải thu ngắn hạn,,164.664.011.252,(30.889.128.240),195.553.139.492,159.797.283.605,2.263.279.534,4.729.947.282,1.776.907.768,6.230.262.232,20.755.459.071,,,164664011252.0,-30889128240.0,195553139492.0,159797283605.0,2263279534.0,4729947282.0,1776907768.0,6230262232.0,20755459071.0
131 1.,MãMãSố > 131 1.,131 1.,Phải thu ngắn hạn của khách hàng,,62.702.509.614,(481.008.000),63.183.517.614,46.190.852.874,261.450.000,4.549.118.336,720.923.000,281.293.986,11.179.879.418,,,62702509614.0,-481008000.0,63183517614.0,46190852874.0,261450000.0,4549118336.0,720923000.0,281293986.0,11179879418.0
132 2.,MãMãSố > 132 2.,132 2.,Trả trước cho người bán ngắn hạn,,30.622.990.704,-,30.622.990.704,30.132.651.871,-,37.400.000,-,30.212.928,422.725.905,,,30622990704.0,,30622990704.0,30132651871.0,,37400000.0,,30212928.0,422725905.0
