row_label_raw,row_label_full,228,- Nguyên giá,44.387.249.258,-,44.387.249.258_1,19.475.198.076,-_1,-_2,2.070.600.000,-_3,22.841.451.182,numeric__- Nguyên giá,numeric__44.387.249.258,numeric__-,numeric__44.387.249.258_1,numeric__19.475.198.076,numeric__-_1,numeric__-_2,numeric__2.070.600.000,numeric__-_3,numeric__22.841.451.182
229,229,229,- Giá trị hao mòn luý kế,(20.188.814.914),-,(20.188.814.914),(1.751.513.227),-,-,-,-,(18.437.301.687),,-20188814914.0,,-20188814914.0,-1751513227.0,,,,,-18437301687.0
,,,,,-,-,,,,,,,,,,,,,,,,
230 II.,230 II.,230 II.,Bất động sản đầu tư,54.109.090.909,-,54.109.090.909,54.109.090.909,-,-,-,-,-,,54109090909.0,,54109090909.0,54109090909.0,,,,,
231,231,231,- Nguyên giá,54.109.090.909,-,54.109.090.909,54.109.090.909,-,-,-,-,-,,54109090909.0,,54109090909.0,54109090909.0,,,,,
232,232,232,- Giá trị hao mòn luý kế,-,-,-,,,,,,,,,,,,,,,,
,,,,,-,-,,,,,,,,,,,,,,,,
240 V.,232 > 240 V.,240 V.,Tài sản dở dang dài hạn,12.287.046.775,-,12.287.045.775,794.151.819,-,-,-,-,11.492.894.956,,12287046775.0,,12287045775.0,794151819.0,,,,,11492894956.0
242 2.,232 > 242 2.,242 2.,Chi phí xây dựng cơ bản dở dang,12.287.046.775,-,12.287.046.775,794.151.819,-,-,-,-,11.492.894.956,,12287046775.0,,12287046775.0,794151819.0,,,,,11492894956.0
,,,,,-,-,,,,,,,,,,,,,,,,
250 V.,232 > 250 V.,250 V.,Đầu tư tài chính dài hạn,1.459.624.754.658,-,1.459.624.754.658,1.450.995.228.949,-,-,-,-,8.629.525.709,,1459624754658.0,,1459624754658.0,1450995228949.0,,,,,8629525709.0
251 1.,232 > 251 1.,251 1.,Đầu tư vào công ty con,298.874.658.557,-,298.874.658.557,298.874.658.557,-,-,-,-,-,,298874658557.0,,298874658557.0,298874658557.0,,,,,
252 2.,232 > 252 2.,252 2.,"Đầu tư vào công ty liên doanh, tiền kết",1.155.131.052.387,-,1.155.131.052.387,1.155.131.052.387,-,-,-,-,-,,1155131052387.0,,1155131052387.0,1155131052387.0,,,,,
253 3.,232 > 253 3.,253 3.,Đầu tư góp vốn vào đơn vị khác,36.291.154.538,-,36.291.154.538,27.661.628.829,-,-,-,-,8.629.525.709,,36291154538.0,,36291154538.0,27661628829.0,,,,,8629525709.0
254 4.,232 > 254 4.,254 4.,Dự phòng đầu tư tài chính dài hạn,(30.672.110.824),-,(30.672.110.824),(30.672.110.824),-,-,-,-,-,,-30672110824.0,,-30672110824.0,-30672110824.0,,,,,
,,,,,-,-,,,,,,,,,,,,,,,,
260 VI.,232 > 260 VI.,260 VI.,Tài sản dài hạn khác,28.238.089.656,-,28.238.089.656,25.003.708.449,149.760.464,33.350.415,13.636.364,23.603.122,3.014.030.842,,28238089656.0,,28238089656.0,25003708449.0,149760464.0,33350415.0,13636364.0,23603122.0,3014030842.0
261 1.,232 > 261 1.,261 1.,Chi phí trả trước dài hạn,25.387.606.450,-,25.387.606.450,25.003.708.449,149.760.464,33.350.415,13.636.364,23.603.122,163.547.636,,25387606450.0,,25387606450.0,25003708449.0,149760464.0,33350415.0,13636364.0,23603122.0,163547636.0
263 3.,232 > 263 3.,263 3.,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",2.850.483.206,,2.850.483.206,-,-,-,-,-,2.850.483.206,,2850483206.0,,2850483206.0,,,,,,2850483206.0
,,,,,-,-,,,,,,,,,,,,,,,,
270,232 > 270,270,TỔNG CỘNG TÀI SẢN,3.735.946.514.567,(204.171.882.328),3.940.118.396.895,3.646.815.307.403,18.011.617.452,16.634.444.679,15.431.345.400,19.846.858.601,223.378.823.360,,3735946514567.0,-204171882328.0,3940118396895.0,3646815307403.0,18011617452.0,16634444679.0,15431345400.0,19846858601.0,223378823360.0
,,,,,-,-,,,,,,,,,,,,,,,,
