row_label_raw,row_label_full,Másô,CHÍ,Tổng cộng,Loại trừ nội bộ,Tổng cộng_1,Văn phòng TổngCông ty,Khách sạn ĐốSon,Công ty Lâmsản Giáp Bát,Công ty Laminghiệp Hà Tĩnh,Công ty Laminghiệp TN,CN-HCM,Công ty MĐIGia Lai,numeric__CHÍ,numeric__Tổng cộng,numeric__Loại trừ nội bộ,numeric__Tổng cộng_1,numeric__Văn phòng TổngCông ty,numeric__Khách sạn ĐốSon,numeric__Công ty Lâmsản Giáp Bát,numeric__Công ty Laminghiệp Hà Tĩnh,numeric__Công ty Laminghiệp TN,numeric__CN-HCM,numeric__Công ty MĐIGia Lai
Másô,Másô,Másô,CHÍ,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,,,
01,01,01,I. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,,,,,
01,01 > 01,01,"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác",1.282.309.630.043,(57.151.741.500),1.339.461.371.543,990.595.117.117,3.151.035.646,22.839.979.207,57.763.386.500,7.205.462.296,,257.906.390.777,,1282309630043.0,-57151741500.0,1339461371543.0,990595117117.0,3151035646.0,22839979207.0,57763386500.0,7205462296.0,,257906390777.0
02,01 > 02,02,2. Tiền chi trả cho người cung cấp hàng,(1.040.393.559.928),57.151.741.500,(1.097.545.301.428),(845.255.442.057),(2.656.776.060),(15.519.998.579),(56.068.207.994),(2.069.358.629),(20.215.110),(175.955.302.999),,-1040393559928.0,57151741500.0,-1097545301428.0,-845255442057.0,-2656776060.0,-15519998579.0,-56068207994.0,-2069358629.0,-20215110.0,-175955302999.0
03,01 > 03,03,3. Tiền chi trả cho người lao động,(67.131.710.198),,(67.131.710.198),(35.039.277.418),(908.371.574),(7.611.822.359),(2.026.144.545),(2.442.646.377),(257.285.000),(18.846.162.925),,-67131710198.0,,-67131710198.0,-35039277418.0,-908371574.0,-7611822359.0,-2026144545.0,-2442646377.0,-257285000.0,-18846162925.0
04,01 > 04,04,4. Tiền lãi vay đã trì,(3.323.334.799),,(3.323.334.799),(1.106.986.465),(3.840.000),,,,,(2.212.508.334),,-3323334799.0,,-3323334799.0,-1106986465.0,-3840000.0,,,,,-2212508334.0
05,01 > 05,05,5. Thuế thu nhập doanh nghiệp đã nộp,(1.415.459.419),,(1.415.459.419),(1.415.459.419),,,,,,,,-1415459419.0,,-1415459419.0,-1415459419.0,,,,,,
06,01 > 06,06,6. Tiền thu khác từ hoạt động kinh doanh,37.618.760.672,(7.000.000.000),44.618.760.672,16.312.073.219,2.176.776.210,3.166.418.237,2.585.568.801,2.958.747.508,907.277.371,16.511.899.326,,37618760672.0,-7000000000.0,44618760672.0,16312073219.0,2176776210.0,3166418237.0,2585568801.0,2958747508.0,907277371.0,16511899326.0
07,01 > 07,07,7. Tiền chi khác cho hoạt động kinh doanh,(106.911.413.568),,(106.911.413.568),(61.845.175.266),(515.000.000),(3.214.484.197),(2.722.681.447),(2.485.967.056),(3.221.541.695),(32.906.563.907),,-106911413568.0,,-106911413568.0,-61845175266.0,-515000000.0,-3214484197.0,-2722681447.0,-2485967056.0,-3221541695.0,-32906563907.0
20,01 > 20,20,Lưu chuyển tiền thuần từ hoạt độngkinh doanh,100.752.912.803,(7.000.000.000),107.752.912.803,62.244.849.711,1.243.824.222,(339.907.691),(468.078.685),3.166.237.742,(2.591.764.434),44.497.751.938,,100752912803.0,-7000000000.0,107752912803.0,62244849711.0,1243824222.0,-339907691.0,-468078685.0,3166237742.0,-2591764434.0,44497751938.0
II. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,,,,,
21,II. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 21,21,"1. Tiền chi để mua sám, xây dựng tài sảncố định và các tài sản dài hạn khác",(17.664.775.750),,(17.664.775.750),(633.433.637),(891.144.909),,,,,(16.140.197.204),,-17664775750.0,,-17664775750.0,-633433637.0,-891144909.0,,,,,-16140197204.0
22,II. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 22,22,"2. Tiền thu từ thanh lý, nhượng bán taisan cố định và các tài sản dài hạn khác",49.545.454,,49.545.454,,,,,49.545.454,,,,49545454.0,,49545454.0,,,,,49545454.0,,
23,II. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 23,23,"3. Tiền chi cho vay, mua các công cụ nợcuà đơn vị khác",(1.172.495.635.534),,(1.172.495.635.534),(1.157.695.635.534),,,,(500.000.000),,(14.300.000.000),,-1172495635534.0,,-1172495635534.0,-1157695635534.0,,,,-500000000.0,,-14300000000.0
24,II. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 24,24,"4. Tiền thu hồi cho vay, bán lại các côngcụ nợ của đơn vị khác",1.068.434.038.720,,1.068.434.038.720,1.060.934.038.720,,,,,,7.500.000.000,,1068434038720.0,,1068434038720.0,1060934038720.0,,,,,,7500000000.0
25,II. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 25,25,5. Tiền chi đầu tư góp vốn vào đơn vịkhác,(1.962.668.300),,(1.962.668.300),(1.962.668.300),,,,,,,,-1962668300.0,,-1962668300.0,-1962668300.0,,,,,,
26,II. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 26,26,6. Tiền thu hồi đầu tư góp vốn vào đơn vịkhác,202.923.000.000,,202.923.000.000,202.923.000.000,,,,,,,,202923000000.0,,202923000000.0,202923000000.0,,,,,,
27,II. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 27,27,"7. Tiền thu lãi cho vay, cổ tức và lợinhươn được chia",240.922.411.126,,240.922.411.126,240.364.086.452,598.596,128.015.112,103.484.471,15.581.233,3.732.811,306.912.451,,240922411126.0,,240922411126.0,240364086452.0,598596.0,128015112.0,103484471.0,15581233.0,3732811.0,306912451.0
30,II. LUU CHUYỀN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 30,30,Lưu chuyển tiền thuần từ hoạt độngđầu tư,320.205.915.716,,320.205.915.716,343.929.387.701,(890.546.313),128.015.112,103.484.471,(434.873.313),3.732.811,(22.633.284.753),,320205915716.0,,320205915716.0,343929387701.0,-890546313.0,128015112.0,103484471.0,-434873313.0,3732811.0,-22633284753.0
