row_label_raw,row_label_full,col_0,Năm 2015,Năm 2014,numeric__Năm 2015,numeric__Năm 2014
,,,VND,VND,,
Doanh thu thuần bán hàng,Doanh thu thuần bán hàng,Doanh thu thuần bán hàng,1.151.001.657.645,998.762.821.602,1151001657645.0,998762821602.0
Doanh thu thuần cung cấp dịch vụ,Doanh thu thuần cung cấp dịch vụ,Doanh thu thuần cung cấp dịch vụ,52.827.401.925,47.050.210.633,52827401925.0,47050210633.0
,,,1.203.829.059.570,1.045.813.032.235,1203829059570.0,1045813032235.0
29. GIÁ VỐN HÀNG BÁN,29. GIÁ VỐN HÀNG BÁN,29. GIÁ VỐN HÀNG BÁN,29. GIÁ VỐN HÀNG BÁN,29. GIÁ VỐN HÀNG BÁN,,
,,,Năm 2015,Năm 2014,,
,,,VND,VND,,
Giá vốn của hàng hóa đã bán,29. GIÁ VỐN HÀNG BÁN > Giá vốn của hàng hóa đã bán,Giá vốn của hàng hóa đã bán,1.107.942.777.614,936.679.693.984,1107942777614.0,936679693984.0
Giá vốn của dịch vụ đã cung cấp,29. GIÁ VỐN HÀNG BÁN > Giá vốn của dịch vụ đã cung cấp,Giá vốn của dịch vụ đã cung cấp,20.586.625.702,27.111.284.869,20586625702.0,27111284869.0
,,,1.128.529.403.316,963.790.978.853,1128529403316.0,963790978853.0
