row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Giá trị chuyển giao công nghệ MDF,Chương trình phần mềm,Cộng,numeric__Quyền sử dụng đất,numeric__Giá trị chuyển giao công nghệ MDF,numeric__Chương trình phần mềm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,22.963.262.275,20.119.251.983,136.000.000,43.218.514.258,22963262275.0,20119251983.0,136000000.0,43218514258.0
- Tăng theo XDGTDN,Nguyên giá > - Tăng theo XDGTDN,- Tăng theo XDGTDN,1.234.735.000,-,-,1.234.735.000,1234735000.0,,,1234735000.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(66.000.000),(66.000.000),,,-66000000.0,-66000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,24.197.997.275,20.119.251.983,70.000.000,44.387.249.258,24197997275.0,20119251983.0,70000000.0,44387249258.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.455.801.486,15.927.741.135,126.666.666,18.510.209.287,2455801486.0,15927741135.0,126666666.0,18510209287.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,480.031.072,1.341.283.464,4.666.664,1.825.981.200,480031072.0,1341283464.0,4666664.0,1825981200.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(66.000.000),(66.000.000),,,-66000000.0,-66000000.0
- Giám theo XDGTDN,Giá trị hao mòn lũy kế > - Giám theo XDGTDN,- Giám theo XDGTDN,(81.375.573),-,-,(81.375.573),-81375573.0,,,-81375573.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.854.456.985,17.269.024.599,65.333.330,20.188.814.914,2854456985.0,17269024599.0,65333330.0,20188814914.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,20.507.460.789,4.191.510.848,9.333.334,24.708.304.971,20507460789.0,4191510848.0,9333334.0,24708304971.0
Tại ngày cuối đã,Giá trị còn lại > Tại ngày cuối đã,Tại ngày cuối đã,21.343.540.290,2.850.227.384,4.666.670,24.198.434.344,21343540290.0,2850227384.0,4666670.0,24198434344.0
