row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vântái, truyền dẫn",TSCĐ dùngtrong quản lý,TSCĐ hữu hìnhkhác,Cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vântái, truyền dẫn",numeric__TSCĐ dùngtrong quản lý,numeric__TSCĐ hữu hìnhkhác,numeric__Cộng
- Khẩu hao trong năm,Giá trị hao mòn lũy kế > - Khẩu hao trong năm,- Khẩu hao trong năm,10.745.935.251,26.470.595.258,1.222.875.998,7.963.193.201,13.025.700,46.415.625.408,10745935251.0,26470595258.0,1222875998.0,7963193201.0,13025700.0,46415625408.0
- Điều chính tăng theo xác định giá trị doanh nghiệp,Giá trị hao mòn lũy kế > - Điều chính tăng theo xác định giá trị doanh nghiệp,- Điều chính tăng theo xác định giá trị doanh nghiệp,46.475.874.015,216.527.383,214.407.211,7.023.204,-,46.913.831.813,46475874015.0,216527383.0,214407211.0,7023204.0,,46913831813.0
- Bàn giao tài sản nguồn KTPL cho công đoàn,Giá trị hao mòn lũy kế > - Bàn giao tài sản nguồn KTPL cho công đoàn,- Bàn giao tài sản nguồn KTPL cho công đoàn,(629.692.075),-,-,-,-,(629.692.075),-629692075.0,,,,,-629692075.0
- Điều chính giảm theo xác định giá trị doanh nghiệp,Giá trị hao mòn lũy kế > - Điều chính giảm theo xác định giá trị doanh nghiệp,- Điều chính giảm theo xác định giá trị doanh nghiệp,(1.528.430.568),(23.560.876.766),(2.872.069.880),(2.270.548.775),(4.341.898),(30.236.267.887),-1528430568.0,-23560876766.0,-2872069880.0,-2270548775.0,-4341898.0,-30236267887.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(2.532.040.336),(74.932.251),-,(49.351.387),-,(2.656.323.974),-2532040336.0,-74932251.0,,-49351387.0,,-2656323974.0
- Điều chính giảm theo xác định giá trị doanh nghiệp,- Điều chính giảm theo xác định giá trị doanh nghiệp,- Điều chính giảm theo xác định giá trị doanh nghiệp,,,,,,-,,,,,,
- Bàn giao cho địa phương,- Điều chính giảm theo xác định giá trị doanh nghiệp > - Bàn giao cho địa phương,- Bàn giao cho địa phương,(163.501.523),-,-,-,-,(163.501.523),-163501523.0,,,,,-163501523.0
- Bàn giao cho Công ty TNHH MTV Lâm nghiệp Lộc Bình,- Điều chính giảm theo xác định giá trị doanh nghiệp > - Bàn giao cho Công ty TNHH MTV Lâm nghiệp Lộc Bình,- Bàn giao cho Công ty TNHH MTV Lâm nghiệp Lộc Bình,(374.390.428),-,(261.939.094),-,-,(636.329.522),-374390428.0,,-261939094.0,,,-636329522.0
Số dư cuối năm,- Điều chính giảm theo xác định giá trị doanh nghiệp > Số dư cuối năm,Số dư cuối năm,104.917.736.044,262.028.741.968,10.193.567.797,25.130.431.394,45.589.952,402.316.067.155,104917736044.0,262028741968.0,10193567797.0,25130431394.0,45589952.0,402316067155.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,213.928.811.247,69.370.633.788,7.512.769.316,35.616.679.778,28.222.352,326.457.116.481,213928811247.0,69370633788.0,7512769316.0,35616679778.0,28222352.0,326457116481.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,247.115.268.061,70.240.293.639,8.223.426.517,31.973.082.291,19.538.550,357.571.609.058,247115268061.0,70240293639.0,8223426517.0,31973082291.0,19538550.0,357571609058.0
