row_label_raw,row_label_full,Tên công ty nhận đầu tư,Nơi thành lập,Tỷ lệ quyền biểu quyết,Hoạt động kinh doanh chính,numeric__Nơi thành lập,numeric__Tỷ lệ quyền biểu quyết,numeric__Hoạt động kinh doanh chính
Công ty CP chế biến lâm sản xuất khẩu Pisico Huế (1),Công ty CP chế biến lâm sản xuất khẩu Pisico Huế (1),Công ty CP chế biến lâm sản xuất khẩu Pisico Huế (1),Tỉnh Thừa Thiên - Huế,"13,01%","Chế biến đảm gỗ, sản phẩm gỗ xuất khẩu Trồng rừng và kinh doanh hàng nông lâm sản",,0.1301,
Công ty CP Vinafor Quảng Trị (2),Công ty CP Vinafor Quảng Trị (2),Công ty CP Vinafor Quảng Trị (2),Tỉnh Quảng Trị,"13,13%",Kinh doanh các sản phẩm từ gỗ,,0.1313,
Công ty TNHH MTV Lâm nghiệp Ba tơ (i),Công ty TNHH MTV Lâm nghiệp Ba tơ (i),Công ty TNHH MTV Lâm nghiệp Ba tơ (i),Tỉnh Quảng Ngãi,,Trồng rừng và chăm sóc rừng,,,
Công ty TNHH MTV Lâm nghiệp Hòa Bình (i),Công ty TNHH MTV Lâm nghiệp Hòa Bình (i),Công ty TNHH MTV Lâm nghiệp Hòa Bình (i),Tỉnh Hòa Bình,,Trồng rừng và chăm sóc rừng,,,
Công ty TNHH MTV Lâm nghiệp Kông Chiêng (ii),Công ty TNHH MTV Lâm nghiệp Kông Chiêng (ii),Công ty TNHH MTV Lâm nghiệp Kông Chiêng (ii),Tỉnh Gia Lai,,Trồng rừng và chăm sóc rừng,,,
Công ty TNHH MTV Lâm nghiệp Kong Chro (ii),Công ty TNHH MTV Lâm nghiệp Kong Chro (ii),Công ty TNHH MTV Lâm nghiệp Kong Chro (ii),Tỉnh Gia Lai,,Trồng rừng và chăm sóc rừng,,,
Công ty TNHH MTV Lâm nghiệp Kông H'De (ii),Công ty TNHH MTV Lâm nghiệp Kông H'De (ii),Công ty TNHH MTV Lâm nghiệp Kông H'De (ii),Tỉnh Gia Lai,,Trồng rừng và chăm sóc rừng,,,
