row_label_raw,row_label_full,col_0,Từ ngày 06 tháng 4năm 2018 đến ngày 31tháng 12 năm 2018,numeric__Từ ngày 06 tháng 4năm 2018 đến ngày 31tháng 12 năm 2018
Công ty Cổ phần Sông Đà 2 (Sông Đà 2),Công ty Cổ phần Sông Đà 2 (Sông Đà 2),Công ty Cổ phần Sông Đà 2 (Sông Đà 2),Công ty Cổ phần Sông Đà 2 (Sông Đà 2),
Chi phí Công trình phải trả Sông Đà 2,Công ty Cổ phần Sông Đà 2 (Sông Đà 2) > Chi phí Công trình phải trả Sông Đà 2,Chi phí Công trình phải trả Sông Đà 2,1.431.272.169,1431272169.0
Công ty Cổ phần Sông Đà 3 (Sông Đà 3),Công ty Cổ phần Sông Đà 3 (Sông Đà 3),Công ty Cổ phần Sông Đà 3 (Sông Đà 3),Công ty Cổ phần Sông Đà 3 (Sông Đà 3),
"Doanh thu cung cấp dịch vụ, xây dựng phải thu Sông Đà 3","Công ty Cổ phần Sông Đà 3 (Sông Đà 3) > Doanh thu cung cấp dịch vụ, xây dựng phải thu Sông Đà 3","Doanh thu cung cấp dịch vụ, xây dựng phải thu Sông Đà 3",2.215.067.708,2215067708.0
"Doanh thu phụ phí, phí bảo lãnh phải thu Sông Đà 3","Công ty Cổ phần Sông Đà 3 (Sông Đà 3) > Doanh thu phụ phí, phí bảo lãnh phải thu Sông Đà 3","Doanh thu phụ phí, phí bảo lãnh phải thu Sông Đà 3",208.026.382,208026382.0
Chi phí Công trình phải trả Sông Đà 3,Công ty Cổ phần Sông Đà 3 (Sông Đà 3) > Chi phí Công trình phải trả Sông Đà 3,Chi phí Công trình phải trả Sông Đà 3,16.582.678.769,16582678769.0
Công ty Cổ phần Sông Đà 4 (Sông Đà 4),Công ty Cổ phần Sông Đà 4 (Sông Đà 4),Công ty Cổ phần Sông Đà 4 (Sông Đà 4),Công ty Cổ phần Sông Đà 4 (Sông Đà 4),
"Doanh thu phụ phí, phí bảo lãnh phải thu Sông Đà 4","Công ty Cổ phần Sông Đà 4 (Sông Đà 4) > Doanh thu phụ phí, phí bảo lãnh phải thu Sông Đà 4","Doanh thu phụ phí, phí bảo lãnh phải thu Sông Đà 4",605.880.099,605880099.0
Chi phí Công trình phải trả Sông Đà 4,Công ty Cổ phần Sông Đà 4 (Sông Đà 4) > Chi phí Công trình phải trả Sông Đà 4,Chi phí Công trình phải trả Sông Đà 4,2.381.966.673,2381966673.0
Lãi vay phải thu Sông Đà 4,Công ty Cổ phần Sông Đà 4 (Sông Đà 4) > Lãi vay phải thu Sông Đà 4,Lãi vay phải thu Sông Đà 4,36.144.155,36144155.0
Cổ tức phải thu Sông Đà 4,Công ty Cổ phần Sông Đà 4 (Sông Đà 4) > Cổ tức phải thu Sông Đà 4,Cổ tức phải thu Sông Đà 4,6.695.000.000,6695000000.0
Công ty Cổ phần Sông Đà 5 (Sông Đà 5),Công ty Cổ phần Sông Đà 5 (Sông Đà 5),Công ty Cổ phần Sông Đà 5 (Sông Đà 5),Công ty Cổ phần Sông Đà 5 (Sông Đà 5),
Chi phí Công trình phải trả Sông Đà 5,Công ty Cổ phần Sông Đà 5 (Sông Đà 5) > Chi phí Công trình phải trả Sông Đà 5,Chi phí Công trình phải trả Sông Đà 5,34.028.714.005,34028714005.0
Cổ tức phải thu Sông Đà 5,Công ty Cổ phần Sông Đà 5 (Sông Đà 5) > Cổ tức phải thu Sông Đà 5,Cổ tức phải thu Sông Đà 5,16.681.680.000,16681680000.0
Công ty Cổ phần Sông Đà 6 (Sông Đà 6),Công ty Cổ phần Sông Đà 6 (Sông Đà 6),Công ty Cổ phần Sông Đà 6 (Sông Đà 6),Công ty Cổ phần Sông Đà 6 (Sông Đà 6),
"Doanh thu phụ phí, phí bảo lãnh, doanh thu khác phải thu Sông Đà 6","Công ty Cổ phần Sông Đà 6 (Sông Đà 6) > Doanh thu phụ phí, phí bảo lãnh, doanh thu khác phải thu Sông Đà 6","Doanh thu phụ phí, phí bảo lãnh, doanh thu khác phải thu Sông Đà 6",2.027.863.935,2027863935.0
Chi phí bảo lãnh phải trả Sông Đà 6,Công ty Cổ phần Sông Đà 6 (Sông Đà 6) > Chi phí bảo lãnh phải trả Sông Đà 6,Chi phí bảo lãnh phải trả Sông Đà 6,93.972.603,93972603.0
Chi phí Công trình phải trả Sông Đà 6,Công ty Cổ phần Sông Đà 6 (Sông Đà 6) > Chi phí Công trình phải trả Sông Đà 6,Chi phí Công trình phải trả Sông Đà 6,46.887.534.580,46887534580.0
Cổ tức phải thu Sông Đà 6,Công ty Cổ phần Sông Đà 6 (Sông Đà 6) > Cổ tức phải thu Sông Đà 6,Cổ tức phải thu Sông Đà 6,18.081.232.000,18081232000.0
