row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Chương trình phần mềm,Tài sản cố định khác,Cộng,numeric__Quyền sử dụng đất,numeric__Chương trình phần mềm,numeric__Tài sản cố định khác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 06/4/2018,Nguyên giá > Tại ngày 06/4/2018,Tại ngày 06/4/2018,337.478.200,1.187.205.923,190.000.000,1.714.684.123,337478200.0,1187205923.0,190000000.0,1714684123.0
Mua trong năm,Mua trong năm,Mua trong năm,Mua trong năm,Mua trong năm,Mua trong năm,Mua trong năm,,,,
Tại ngày 31/12/2018,Mua trong năm > Tại ngày 31/12/2018,Tại ngày 31/12/2018,337.478.200,1.187.205.923,190.000.000,1.714.684.123,337478200.0,1187205923.0,190000000.0,1714684123.0
Trong đó: Đã khấu hao hết nhưng vẫn còn sử dụng,Mua trong năm > Trong đó: Đã khấu hao hết nhưng vẫn còn sử dụng,Trong đó: Đã khấu hao hết nhưng vẫn còn sử dụng,,847.283.923,,847.283.923,,847283923.0,,847283923.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,,
Tại ngày 06/4/2018,Giá trị hao mòn > Tại ngày 06/4/2018,Tại ngày 06/4/2018,305.529.602,1.156.268.424,32.194.447,1.493.992.473,305529602.0,1156268424.0,32194447.0,1493992473.0
Khấu hao trong năm,Giá trị hao mòn > Khấu hao trong năm,Khấu hao trong năm,12.421.071,27.604.167,27.972.225,67.997.463,12421071.0,27604167.0,27972225.0,67997463.0
Tại ngày 31/12/2018,Giá trị hao mòn > Tại ngày 31/12/2018,Tại ngày 31/12/2018,317.950.673,1.183.872.591,60.166.672,1.561.989.936,317950673.0,1183872591.0,60166672.0,1561989936.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 06/4/2018,Giá trị còn lại > Tại ngày 06/4/2018,Tại ngày 06/4/2018,31.948.598,30.937.499,157.805.553,220.691.650,31948598.0,30937499.0,157805553.0,220691650.0
Tại ngày 31/12/2018,Giá trị còn lại > Tại ngày 31/12/2018,Tại ngày 31/12/2018,19.527.527,3.333.332,129.833.328,152.694.187,19527527.0,3333332.0,129833328.0,152694187.0
