row_label_raw,row_label_full,col_0,Lĩnh vực Xây lắp,Lĩnh vực Thủy điện,Lĩnh vực khác,Cộng,numeric__Lĩnh vực Xây lắp,numeric__Lĩnh vực Thủy điện,numeric__Lĩnh vực khác,numeric__Cộng
Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,,,,
Tài sản trực tiếp của bộ phận,Tại ngày 31/12/2018 > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,9.022.987.316.381,70.827.586.298,30.778.613.689,9.124.593.516.368,9022987316381.0,70827586298.0,30778613689.0,9124593516368.0
Tài sản phân bổ cho bộ phận,Tài sản phân bổ cho bộ phận,Tài sản phân bổ cho bộ phận,,,,,,,,
Các tài sản không phân bổ theo bộ phận,Tài sản phân bổ cho bộ phận > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,6.528.042.219.108,,,,6528042219108.0
Tổng tài sản,Tài sản phân bổ cho bộ phận > Tổng tài sản,Tổng tài sản,,,,15.652.635.735.476,,,,15652635735476.0
Nợ phải trả trực tiếp của bộ phận,Tài sản phân bổ cho bộ phận > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,10.313.599.302.977,508.659.809.766,201.526.650.397,11.023.785.763.140,10313599302977.0,508659809766.0,201526650397.0,11023785763140.0
Nợ phải trả phân bổ cho bộ phận,Nợ phải trả phân bổ cho bộ phận,Nợ phải trả phân bổ cho bộ phận,,,,,,,,
Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả phân bổ cho bộ phận > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,111.103.442.817,,,,111103442817.0
Tổng nợ phải trả,Nợ phải trả phân bổ cho bộ phận > Tổng nợ phải trả,Tổng nợ phải trả,,,,11.134.889.205.957,,,,11134889205957.0
Tại ngày 06/4/2018,Tại ngày 06/4/2018,Tại ngày 06/4/2018,Tại ngày 06/4/2018,Tại ngày 06/4/2018,Tại ngày 06/4/2018,Tại ngày 06/4/2018,,,,
Tài sản trực tiếp của bộ phận,Tại ngày 06/4/2018 > Tài sản trực tiếp của bộ phận,Tài sản trực tiếp của bộ phận,9.741.959.066.151,,31.724.127.133,9.773.683.193.284,9741959066151.0,,31724127133.0,9773683193284.0
Tài sản phân bổ cho bộ phận,Tài sản phân bổ cho bộ phận,Tài sản phân bổ cho bộ phận,,,,,,,,
Các tài sản không phân bổ theo bộ phận,Tài sản phân bổ cho bộ phận > Các tài sản không phân bổ theo bộ phận,Các tài sản không phân bổ theo bộ phận,,,,6.680.801.564.679,,,,6680801564679.0
Tổng tài sản,Tài sản phân bổ cho bộ phận > Tổng tài sản,Tổng tài sản,,,,16.454.484.757.963,,,,16454484757963.0
Nợ phải trả trực tiếp của bộ phận,Tài sản phân bổ cho bộ phận > Nợ phải trả trực tiếp của bộ phận,Nợ phải trả trực tiếp của bộ phận,11.170.759.947.293,415.595.092.827,185.580.148.643,11.771.935.188.763,11170759947293.0,415595092827.0,185580148643.0,11771935188763.0
Nợ phải trả phân bổ cho bộ phận,Nợ phải trả phân bổ cho bộ phận,Nợ phải trả phân bổ cho bộ phận,,,,,,,,
Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả phân bổ cho bộ phận > Nợ phải trả không phân bổ theo bộ phận,Nợ phải trả không phân bổ theo bộ phận,,,,187.178.449.200,,,,187178449200.0
Tổng nợ phải trả,Nợ phải trả phân bổ cho bộ phận > Tổng nợ phải trả,Tổng nợ phải trả,,,,11.959.113.637.963,,,,11959113637963.0
