row_label_raw,row_label_full,Số đầu năm,Từ ngày 06/4/2018đến ngày 31/12/2018,numeric__Từ ngày 06/4/2018đến ngày 31/12/2018
Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,59.135.637.653,59135637653.0
Số cuối năm,Số cuối năm,Số cuối năm,59.135.637.653,59135637653.0
