row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,300,,11.134.889.205.957,11.959.113.637.963,,300.0,,11134889205957.0,11959113637963.0
I.,I.,I.,Nợ ngắn hạn,310,,6.650.549.786.232,7.036.470.766.955,,310.0,,6650549786232.0,7036470766955.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,V.13a,3.393.368.570.653,3.105.617.543.338,,311.0,,3393368570653.0,3105617543338.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,V.14,58.344.943.159,52.350.557.106,,312.0,,58344943159.0,52350557106.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,V.15,102.246.116.857,181.282.684.103,,313.0,,102246116857.0,181282684103.0
4.,4.,4.,Phải trả người lao động,314,,8.857.325.960,5.895.765.097,,314.0,,8857325960.0,5895765097.0
5.,5.,5.,Chỉ phí phải trả ngắn hạn,315,V.16,235.478.004.147,534.735.589.871,,315.0,,235478004147.0,534735589871.0
6.,6.,6.,Phải trả nội bộ ngắn hạn,316,,-,-,,316.0,,,
7.,7.,7.,Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,317,,-,-,,317.0,,,
8.,8.,8.,Doanh thu chưa thực hiện ngắn hạn,318,V.17,10.400.631.022,11.895.374.222,,318.0,,10400631022.0,11895374222.0
9.,9.,9.,Phải trả ngắn hạn khác,319,V.18a,1.145.250.054.351,936.454.626.333,,319.0,,1145250054351.0,936454626333.0
10.,10.,10.,Vay và nợ thuê tài chính ngắn hạn,320,V.19a,1.682.210.306.069,2.182.118.941.917,,320.0,,1682210306069.0,2182118941917.0
11.,11.,11.,Dự phòng phải trả ngắn hạn,321,,-,-,,321.0,,,
12.,12.,12.,"Quỹ khen thưởng, phúc lợi",322,V.20,14.393.834.014,26.119.684.968,,322.0,,14393834014.0,26119684968.0
13.,13.,13.,Quỹ bình ổn giá,323,,-,-,,323.0,,,
14.,14.,14.,Giao dịch mua bán lại trái phiếu Chính phủ,324,,-,-,,324.0,,,
II.,II.,II.,Nợ dài hạn,330,,4.484.339.419.725,4.922.642.871.008,,330.0,,4484339419725.0,4922642871008.0
1.,1.,1.,Phải trả người bán dài hạn,331,V.13b,648.710.168.314,825.077.165.881,,331.0,,648710168314.0,825077165881.0
2.,2.,2.,Người mua trả tiền trước dài hạn,332,,-,-,,332.0,,,
3.,3.,3.,Chỉ phí phải trả dài hạn,333,,-,-,,333.0,,,
4.,4.,4.,Phải trả nội bộ về vốn kinh doanh,334,,-,-,,334.0,,,
5.,5.,5.,Phải trả nội bộ dài hạn,335,,-,-,,335.0,,,
6.,6.,6.,Doanh thu chưa thực hiện dài hạn,336,V.17,155.901.887.726,142.092.356.823,,336.0,,155901887726.0,142092356823.0
7.,7.,7.,Phải trả dài hạn khác,337,V.18b,59.416.574.335,63.338.381.338,,337.0,,59416574335.0,63338381338.0
8.,8.,8.,Vay và nợ thuê tài chính dài hạn,338,V.19b,3.620.310.789.350,3.892.134.966.966,,338.0,,3620310789350.0,3892134966966.0
9.,9.,9.,Trái phiếu chuyển đổi,339,,-,-,,339.0,,,
10.,10.,10.,Cổ phiếu ưu đãi,340,,-,-,,340.0,,,
11.,11.,11.,Thuế thu nhập hoãn lại phải trả,341,,-,-,,341.0,,,
12.,12.,12.,Dự phòng phải trả dài hạn,342,,-,-,,342.0,,,
13.,13.,13.,Quỹ phát triển khoa học và công nghệ,343,,-,-,,343.0,,,
