row_label_raw,row_label_full,col_0,Từ ngày 06 tháng 4 năm 2018 đến ngày 31 tháng 12 năm 2018,numeric__Từ ngày 06 tháng 4 năm 2018 đến ngày 31 tháng 12 năm 2018
Công ty Cổ phần Sông Đà 9 (Sông Đà 9),Công ty Cổ phần Sông Đà 9 (Sông Đà 9),Công ty Cổ phần Sông Đà 9 (Sông Đà 9),Công ty Cổ phần Sông Đà 9 (Sông Đà 9),
"Doanh thu phụ phí, phí bảo lãnh, doanh thu khác phải thu Sông Đà 9","Công ty Cổ phần Sông Đà 9 (Sông Đà 9) > Doanh thu phụ phí, phí bảo lãnh, doanh thu khác phải thu Sông Đà 9","Doanh thu phụ phí, phí bảo lãnh, doanh thu khác phải thu Sông Đà 9",509.995.928,509995928.0
Chi phí Công trình phải trả Sông Đà 9,Công ty Cổ phần Sông Đà 9 (Sông Đà 9) > Chi phí Công trình phải trả Sông Đà 9,Chi phí Công trình phải trả Sông Đà 9,97.868.797.284,97868797284.0
Cổ tức phải thu Sông Đà 9,Công ty Cổ phần Sông Đà 9 (Sông Đà 9) > Cổ tức phải thu Sông Đà 9,Cổ tức phải thu Sông Đà 9,20.026.944.000,20026944000.0
Công ty Cổ phần Sông Đà 10 (Sông Đà 10),Công ty Cổ phần Sông Đà 10 (Sông Đà 10),Công ty Cổ phần Sông Đà 10 (Sông Đà 10),Công ty Cổ phần Sông Đà 10 (Sông Đà 10),
Doanh thu phí bảo lãnh phải thu Sông Đà 10,Công ty Cổ phần Sông Đà 10 (Sông Đà 10) > Doanh thu phí bảo lãnh phải thu Sông Đà 10,Doanh thu phí bảo lãnh phải thu Sông Đà 10,125.371.540,125371540.0
Doanh thu Phí tổng thầu phải thu Sông Đà 10,Công ty Cổ phần Sông Đà 10 (Sông Đà 10) > Doanh thu Phí tổng thầu phải thu Sông Đà 10,Doanh thu Phí tổng thầu phải thu Sông Đà 10,1.291.034.114,1291034114.0
Chi phí Công trình phải trả Sông Đà 10,Công ty Cổ phần Sông Đà 10 (Sông Đà 10) > Chi phí Công trình phải trả Sông Đà 10,Chi phí Công trình phải trả Sông Đà 10,429.310.012.611,429310012611.0
Cổ tức phải thu Sông Đà 10,Công ty Cổ phần Sông Đà 10 (Sông Đà 10) > Cổ tức phải thu Sông Đà 10,Cổ tức phải thu Sông Đà 10,15.964.444.200,15964444200.0
Công ty Cổ phần Sông Đà 12 (Sông Đà 12),Công ty Cổ phần Sông Đà 12 (Sông Đà 12),Công ty Cổ phần Sông Đà 12 (Sông Đà 12),Công ty Cổ phần Sông Đà 12 (Sông Đà 12),
Chi phí Công trình phải trả Sông Đà 12,Công ty Cổ phần Sông Đà 12 (Sông Đà 12) > Chi phí Công trình phải trả Sông Đà 12,Chi phí Công trình phải trả Sông Đà 12,3.572.998.393,3572998393.0
Công ty Cổ phần Đầu tư và Phát triển điện Sê San 3A (Sê San 3A),Công ty Cổ phần Đầu tư và Phát triển điện Sê San 3A (Sê San 3A),Công ty Cổ phần Đầu tư và Phát triển điện Sê San 3A (Sê San 3A),Công ty Cổ phần Đầu tư và Phát triển điện Sê San 3A (Sê San 3A),
Doanh thu cung cấp dịch vụ phải thu Sê San 3A,Công ty Cổ phần Đầu tư và Phát triển điện Sê San 3A (Sê San 3A) > Doanh thu cung cấp dịch vụ phải thu Sê San 3A,Doanh thu cung cấp dịch vụ phải thu Sê San 3A,80.099.670,80099670.0
Cổ tức phải thu Sê San 3A,Công ty Cổ phần Đầu tư và Phát triển điện Sê San 3A (Sê San 3A) > Cổ tức phải thu Sê San 3A,Cổ tức phải thu Sê San 3A,64.260.000.000,64260000000.0
Công ty Cổ phần Thủy điện Nậm Chiến (Thủy điện Nậm Chiến),Công ty Cổ phần Thủy điện Nậm Chiến (Thủy điện Nậm Chiến),Công ty Cổ phần Thủy điện Nậm Chiến (Thủy điện Nậm Chiến),Công ty Cổ phần Thủy điện Nậm Chiến (Thủy điện Nậm Chiến),
Doanh thu cung cấp dịch vụ phải thu Thủy điện Nậm Chiến,Công ty Cổ phần Thủy điện Nậm Chiến (Thủy điện Nậm Chiến) > Doanh thu cung cấp dịch vụ phải thu Thủy điện Nậm Chiến,Doanh thu cung cấp dịch vụ phải thu Thủy điện Nậm Chiến,78.000.000,78000000.0
Doanh thu kinh phí thầu phụ phải thu Thủy điện Nậm Chiến,Công ty Cổ phần Thủy điện Nậm Chiến (Thủy điện Nậm Chiến) > Doanh thu kinh phí thầu phụ phải thu Thủy điện Nậm Chiến,Doanh thu kinh phí thầu phụ phải thu Thủy điện Nậm Chiến,306.530.127,306530127.0
Doanh thu xây dựng phải thu Thủy điện Nậm Chiến,Công ty Cổ phần Thủy điện Nậm Chiến (Thủy điện Nậm Chiến) > Doanh thu xây dựng phải thu Thủy điện Nậm Chiến,Doanh thu xây dựng phải thu Thủy điện Nậm Chiến,16.201.566.364,16201566364.0
Giảm doanh thu do quyết toán,Công ty Cổ phần Thủy điện Nậm Chiến (Thủy điện Nậm Chiến) > Giảm doanh thu do quyết toán,Giảm doanh thu do quyết toán,8.201.496.621,8201496621.0
Công ty Cổ phần Thủy điện Cần Đơn (Cần Đơn),Công ty Cổ phần Thủy điện Cần Đơn (Cần Đơn),Công ty Cổ phần Thủy điện Cần Đơn (Cần Đơn),Công ty Cổ phần Thủy điện Cần Đơn (Cần Đơn),
Giá vốn điện thương phẩm phải trả Cần Đơn,Công ty Cổ phần Thủy điện Cần Đơn (Cần Đơn) > Giá vốn điện thương phẩm phải trả Cần Đơn,Giá vốn điện thương phẩm phải trả Cần Đơn,299.367.882.779,299367882779.0
Cổ tức phải thu Cần Đơn,Công ty Cổ phần Thủy điện Cần Đơn (Cần Đơn) > Cổ tức phải thu Cần Đơn,Cổ tức phải thu Cần Đơn,158.224.752.000,158224752000.0
Công ty Cổ phần Tư vấn Sông Đà (Tư vấn Sông Đà),Công ty Cổ phần Tư vấn Sông Đà (Tư vấn Sông Đà),Công ty Cổ phần Tư vấn Sông Đà (Tư vấn Sông Đà),Công ty Cổ phần Tư vấn Sông Đà (Tư vấn Sông Đà),
Cổ tức phải thu Tư vấn Sông Đà,Công ty Cổ phần Tư vấn Sông Đà (Tư vấn Sông Đà) > Cổ tức phải thu Tư vấn Sông Đà,Cổ tức phải thu Tư vấn Sông Đà,1.331.100.000,1331100000.0
Công ty Cổ phần Sông Đà 2 (Sông Đà 2),Công ty Cổ phần Sông Đà 2 (Sông Đà 2),Công ty Cổ phần Sông Đà 2 (Sông Đà 2),Công ty Cổ phần Sông Đà 2 (Sông Đà 2),
Doanh thu cung cấp dịch vụ phải thu Sông Đà 2,Công ty Cổ phần Sông Đà 2 (Sông Đà 2) > Doanh thu cung cấp dịch vụ phải thu Sông Đà 2,Doanh thu cung cấp dịch vụ phải thu Sông Đà 2,50.143.040,50143040.0
Doanh thu kinh phí thầu phụ phải thu Sông Đà 2,Công ty Cổ phần Sông Đà 2 (Sông Đà 2) > Doanh thu kinh phí thầu phụ phải thu Sông Đà 2,Doanh thu kinh phí thầu phụ phải thu Sông Đà 2,54.480.974,54480974.0
Công ty Cổ phần Cơ khí Lắp máy Sông Đà (Cơ khí Lắp máy Sông Đà),Công ty Cổ phần Cơ khí Lắp máy Sông Đà (Cơ khí Lắp máy Sông Đà),Công ty Cổ phần Cơ khí Lắp máy Sông Đà (Cơ khí Lắp máy Sông Đà),Công ty Cổ phần Cơ khí Lắp máy Sông Đà (Cơ khí Lắp máy Sông Đà),
"Doanh thu phụ phí, phí bảo lãnh phải thu Cơ khí Lắp máy Sông Đà","Công ty Cổ phần Cơ khí Lắp máy Sông Đà (Cơ khí Lắp máy Sông Đà) > Doanh thu phụ phí, phí bảo lãnh phải thu Cơ khí Lắp máy Sông Đà","Doanh thu phụ phí, phí bảo lãnh phải thu Cơ khí Lắp máy Sông Đà",757.328.045,757328045.0
Lãi vay phải thu,Công ty Cổ phần Cơ khí Lắp máy Sông Đà (Cơ khí Lắp máy Sông Đà) > Lãi vay phải thu,Lãi vay phải thu,189.292.132,189292132.0
