row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc",Máy móc và thiết bị,"Phương tiện vận tải, truyền dẫn","Thiết bị, dụng cụ quản lý",Tài sản cố định khác,Cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Máy móc và thiết bị,"numeric__Phương tiện vận tải, truyền dẫn","numeric__Thiết bị, dụng cụ quản lý",numeric__Tài sản cố định khác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 06/4/2018,Nguyên giá > Tại ngày 06/4/2018,Tại ngày 06/4/2018,685.709.249.633,94.777.111.192(183.739.653),55.940.072.217(5.495.612.921),12.537.565.145(381.916.035),270.780.114.354,1.119.744.112.541(6.061.268.609),685709249633.0,,,,270780114354.0,
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",,,,,,(9.787.915.164),,,,,,-9787915164.0
Bàn giao về DATC,Nguyên giá > Bàn giao về DATC,Bàn giao về DATC,(2.944.190.436),(6.282.882.526),(375.192.202),(185.650.000),,,-2944190436.0,-6282882526.0,-375192202.0,-185650000.0,,
Tại ngày 31/12/2018,Nguyên giá > Tại ngày 31/12/2018,Tại ngày 31/12/2018,682.765.059.197,88.310.489.013,50.069.267.094,11.969.999.110,270.780.114.354,1.103.894.928.768,682765059197.0,88310489013.0,50069267094.0,11969999110.0,270780114354.0,1103894928768.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Đã khấu hao hết nhưng vẫn còn sử dụng,Trong đó: > Đã khấu hao hết nhưng vẫn còn sử dụng,Đã khấu hao hết nhưng vẫn còn sử dụng,1.605.218.900,321.593.708,2.658.054.920,790.298.182,615.330.000,5.990.495.710,1605218900.0,321593708.0,2658054920.0,790298182.0,615330000.0,5990495710.0
Chờ thanh lý,Chờ thanh lý,Chờ thanh lý,,,,,,,,,,,,
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,,,,
Tại ngày 06/4/2018,Giá trị hao mòn > Tại ngày 06/4/2018,Tại ngày 06/4/2018,43.684.297.535,31.559.629.210,28.148.990.004,8.072.278.299,43.018.573.892,154.483.768.940,43684297535.0,31559629210.0,28148990004.0,8072278299.0,43018573892.0,154483768940.0
