row_label_raw,row_label_full,col_0,Tại ngày 06/4/2018,Số tiền vay phát sinh trong năm,Kết chuyển từ vay và nợ dài hạn,Chênh lệch tỷ giá đánh giá lại,Số tiền vay đã trả trong năm,Tại ngày 31/12/2018,numeric__Tại ngày 06/4/2018,numeric__Số tiền vay phát sinh trong năm,numeric__Kết chuyển từ vay và nợ dài hạn,numeric__Chênh lệch tỷ giá đánh giá lại,numeric__Số tiền vay đã trả trong năm,numeric__Tại ngày 31/12/2018
Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,253.124.413.607,628.788.965.768,,,571.134.882.966,310.778.496.409,253124413607.0,628788965768.0,,,571134882966.0,310778496409.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,122.916.039.682,604.241.533.207,,,440.926.509.041,286.231.063.848,122916039682.0,604241533207.0,,,440926509041.0,286231063848.0
Chi nhánh Sở Giao dịch I,Chi nhánh Sở Giao dịch I,Chi nhánh Sở Giao dịch I,63.472.939.539,116.313.644.080,,,125.892.551.629,53.894.031.990,63472939539.0,116313644080.0,,,125892551629.0,53894031990.0
Chi nhánh Hà Tây,Chi nhánh Hà Tây,Chi nhánh Hà Tây,59.443.100.143,487.927.889.127,,,315.033.957.412,232.337.031.858,59443100143.0,487927889127.0,,,315033957412.0,232337031858.0
Ngân hàng TMCP Quân đội - Chi nhánh Mỹ Đình,Ngân hàng TMCP Quân đội - Chi nhánh Mỹ Đình,Ngân hàng TMCP Quân đội - Chi nhánh Mỹ Đình,11.567.554.262,,,,11.567.554.262,,11567554262.0,,,,11567554262.0,
Ngân hàng TMCP Bảo Việt,Ngân hàng TMCP Bảo Việt,Ngân hàng TMCP Bảo Việt,118.640.819.663,24.547.432.561,,,118.640.819.663,24.547.432.561,118640819663.0,24547432561.0,,,118640819663.0,24547432561.0
Vay ngắn hạn các tổ chức khác,Vay ngắn hạn các tổ chức khác,Vay ngắn hạn các tổ chức khác,254.093.087,,,,793.833,253.299.254,254093087.0,,,,793833.0,253299254.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,1.928.740.435.223,,308.521.769.786,63.495.424.822,802.588.269.781,1.371.178.510.406,1928740435223.0,,308521769786.0,63495424822.0,802588269781.0,1371178510406.0
Ngân hàng NIB,Ngân hàng NIB,Ngân hàng NIB,482.622.857.625,,114.471.131.671,22.414.352.491,45.317.753.189,529.361.883.616,482622857625.0,,114471131671.0,22414352491.0,45317753189.0,529361883616.0
Ngân hàng Phát triển Châu Á-vay thông thường,Ngân hàng Phát triển Châu Á-vay thông thường,Ngân hàng Phát triển Châu Á-vay thông thường,97.945.795.781,,24.263.294.289,(709.502.603),57.924.593.375,64.993.999.298,97945795781.0,,24263294289.0,-709502603.0,57924593375.0,64993999298.0
Ngân hàng Phát triển Châu Á -vay đặc biệt,Ngân hàng Phát triển Châu Á -vay đặc biệt,Ngân hàng Phát triển Châu Á -vay đặc biệt,2.982.711.735,,3.277.058.205,,2.982.711.735,3.277.058.205,2982711735.0,,3277058205.0,,2982711735.0,3277058205.0
Ngân hàng Natixis,Ngân hàng Natixis,Ngân hàng Natixis,333.020.572.367,,166.510.285.621,8.534.591.062,333.020.572.367,157.975.694.559,333020572367.0,,166510285621.0,8534591062.0,333020572367.0,157975694559.0
Quỹ tích lũy nợ - Bộ Tài chính,Quỹ tích lũy nợ - Bộ Tài chính,Quỹ tích lũy nợ - Bộ Tài chính,1.012.168.497.715,,,33.255.983.872,363.342.639.115,615.569.874.728,1012168497715.0,,,33255983872.0,363342639115.0,615569874728.0
Cộng,Cộng,Cộng,2.182.118.941.917,628.788.965.768,308.521.769.786,63.495.424.822,1.373.723.946.580,1.682.210.306.069,2182118941917.0,628788965768.0,308521769786.0,63495424822.0,1373723946580.0,1682210306069.0
