row_label_raw,row_label_full,Số đầu năm,Từ ngày 06 tháng 4 năm 2018 đến ngày 31 tháng 12 năm 2018,numeric__Từ ngày 06 tháng 4 năm 2018 đến ngày 31 tháng 12 năm 2018
Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,Trích lập dự phòng bổ sung,176.198.738.818,176198738818.0
Số cuối năm,Số cuối năm,Số cuối năm,176.198.738.818,176198738818.0
