row_label_raw,row_label_full,col_0,Tại ngày31/12/2018,Tại ngày06/4/2018,numeric__Tại ngày31/12/2018,numeric__Tại ngày06/4/2018
Công ty TNHH MTV Sông Đà 11 - Thăng Long,Công ty TNHH MTV Sông Đà 11 - Thăng Long,Công ty TNHH MTV Sông Đà 11 - Thăng Long,,3.969.042,,3969042.0
Công ty Cổ phần Sông Đà 10.9,Công ty Cổ phần Sông Đà 10.9,Công ty Cổ phần Sông Đà 10.9,,244.866.696,,244866696.0
Công ty Cổ phần Thủy điện Nậm Mu,Công ty Cổ phần Thủy điện Nậm Mu,Công ty Cổ phần Thủy điện Nậm Mu,135.567.867,135.567.867,135567867.0,135567867.0
Công ty TNHH MTV Điện Xekaman 1,Công ty TNHH MTV Điện Xekaman 1,Công ty TNHH MTV Điện Xekaman 1,41.962.777,131.963.777,41962777.0,131963777.0
Công ty TNHH điện Xêkaman 3,Công ty TNHH điện Xêkaman 3,Công ty TNHH điện Xêkaman 3,7.280.941.151,7.175.716.160,7280941151.0,7175716160.0
Công ty TNHH MTV Công trình Giao thông Sông Đà,Công ty TNHH MTV Công trình Giao thông Sông Đà,Công ty TNHH MTV Công trình Giao thông Sông Đà,500.000.000,2.778.742,500000000.0,2778742.0
Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,701.023.883.559,607.570.529.942,701023883559.0,607570529942.0
Phải thu về cổ tức lợi nhuận được chia,Phải thu về cổ tức lợi nhuận được chia,Phải thu về cổ tức lợi nhuận được chia,29.263.030.000,38.014.310.000,29263030000.0,38014310000.0
Công ty Cổ phần Xi măng Hạ Long - Lãi và phí cho vay lại,Công ty Cổ phần Xi măng Hạ Long - Lãi và phí cho vay lại,Công ty Cổ phần Xi măng Hạ Long - Lãi và phí cho vay lại,458.665.930.971,442.166.167.790,458665930971.0,442166167790.0
Công ty Cổ phần Xi măng Hạ Long – Các khoản khác,Công ty Cổ phần Xi măng Hạ Long – Các khoản khác,Công ty Cổ phần Xi măng Hạ Long – Các khoản khác,,73.480.135,,73480135.0
Tạm ứng,Tạm ứng,Tạm ứng,6.148.644.153,4.932.611.106,6148644153.0,4932611106.0
Phải thu về cổ phần hoá,Phải thu về cổ phần hoá,Phải thu về cổ phần hoá,5.858.915.738,5.916.915.738,5858915738.0,5916915738.0
Lãi dự thu tiền gửi có kỳ hạn,Lãi dự thu tiền gửi có kỳ hạn,Lãi dự thu tiền gửi có kỳ hạn,10.951.104.658,2.895.534.247,10951104658.0,2895534247.0
Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,Các khoản phải thu ngắn hạn khác,190.136.258.039,113.571.510.926,190136258039.0,113571510926.0
Cộng,Cộng,Cộng,1.065.162.057.485,842.520.160.223,1065162057485.0,842520160223.0
