row_label_raw,row_label_full,col_0,Tại ngày31/12/2018,Tại ngày06/4/2018,numeric__Tại ngày31/12/2018,numeric__Tại ngày06/4/2018
Công ty TNHH Điện Xekaman1,Công ty TNHH Điện Xekaman1,Công ty TNHH Điện Xekaman1,290.678.870.397,296.983.446.328,290678870397.0,296983446328.0
Công ty TNHH Điện Xekaman 3,Công ty TNHH Điện Xekaman 3,Công ty TNHH Điện Xekaman 3,566.856.030.435,558.663.762.523,566856030435.0,558663762523.0
Công ty TNHH MTV Công trình Giao thông Sông Đà,Công ty TNHH MTV Công trình Giao thông Sông Đà,Công ty TNHH MTV Công trình Giao thông Sông Đà,,2.388.450,,2388450.0
Phải thu các khách hàng khác,Phải thu các khách hàng khác,Phải thu các khách hàng khác,1.050.105.748.035,950.005.236.908,1050105748035.0,950005236908.0
Ban Quản lý Dự án Đầu tư Xây dựng Nhà Quốc hội,Ban Quản lý Dự án Đầu tư Xây dựng Nhà Quốc hội,Ban Quản lý Dự án Đầu tư Xây dựng Nhà Quốc hội,74.217.366.641,90.895.064.278,74217366641.0,90895064278.0
Ban Quản lý Dự án thủy điện 4,Ban Quản lý Dự án thủy điện 4,Ban Quản lý Dự án thủy điện 4,63.231.823.051,63.231.823.051,63231823051.0,63231823051.0
Ban quản lý Dự án Thủy điện 1,Ban quản lý Dự án Thủy điện 1,Ban quản lý Dự án Thủy điện 1,14.790.889.694,24.494.533.480,14790889694.0,24494533480.0
Ban quản lý Dự án Nhà máy Thủy điện Sơn La,Ban quản lý Dự án Nhà máy Thủy điện Sơn La,Ban quản lý Dự án Nhà máy Thủy điện Sơn La,15.265.148.545,107.354.933.312,15265148545.0,107354933312.0
Ban quản lý Dự án Nhà máy Thủy điện Đồng Nai 5 - Vinacomin,Ban quản lý Dự án Nhà máy Thủy điện Đồng Nai 5 - Vinacomin,Ban quản lý Dự án Nhà máy Thủy điện Đồng Nai 5 - Vinacomin,455.499.407.652,470.353.102.719,455499407652.0,470353102719.0
Ban quản lý Thủy điện 2-Tập đoàn điện lực Việt Nam,Ban quản lý Thủy điện 2-Tập đoàn điện lực Việt Nam,Ban quản lý Thủy điện 2-Tập đoàn điện lực Việt Nam,28.507.591.468,29.735.962.068,28507591468.0,29735962068.0
Ban quản lý Dự án Thủy điện Xê Bang Hiêng,Ban quản lý Dự án Thủy điện Xê Bang Hiêng,Ban quản lý Dự án Thủy điện Xê Bang Hiêng,3.329.000,3.329.000,3329000.0,3329000.0
Tổng Công ty Đầu tư Phát triển Đường cao tốc Việt Nam,Tổng Công ty Đầu tư Phát triển Đường cao tốc Việt Nam,Tổng Công ty Đầu tư Phát triển Đường cao tốc Việt Nam,10.734.019.094,12.529.682.897,10734019094.0,12529682897.0
Công ty Mua Bán Điện - Tập đoàn Điện lực Việt Nam,Công ty Mua Bán Điện - Tập đoàn Điện lực Việt Nam,Công ty Mua Bán Điện - Tập đoàn Điện lực Việt Nam,91.898.810.583,24.547.432.561,91898810583.0,24547432561.0
Công ty TNHH MTV Thủy điện Trung Sơn,Công ty TNHH MTV Thủy điện Trung Sơn,Công ty TNHH MTV Thủy điện Trung Sơn,22.169.761.062,22.831.395.038,22169761062.0,22831395038.0
Liên danh CMC/ITD/Song Đa,Liên danh CMC/ITD/Song Đa,Liên danh CMC/ITD/Song Đa,161.757.904.400,18.244.954.395,161757904400.0,18244954395.0
Công ty cổ phần thuy điện Hủa Na,Công ty cổ phần thuy điện Hủa Na,Công ty cổ phần thuy điện Hủa Na,64.705.222.023,72.705.222.023,64705222023.0,72705222023.0
Các khách hàng khác,Các khách hàng khác,Các khách hàng khác,47.324.474.822,13.077.802.086,47324474822.0,13077802086.0
Cộng,Cộng,Cộng,2.616.455.571.307,2.532.629.976.133,2616455571307.0,2532629976133.0
