row_label_raw,row_label_full,Đầu tư góp vốn vào đơn vị khác,Tại ngày31/12/2018 > 156.550.987.205,Dự phòng > (143.834.592),Tại ngày06/4/2018 > 156.716.867.205,Dự phòng,numeric__Tại ngày31/12/2018 > 156.550.987.205,numeric__Dự phòng > (143.834.592),numeric__Tại ngày06/4/2018 > 156.716.867.205,numeric__Dự phòng
Đầu tư cổ phiếu,Đầu tư cổ phiếu,Đầu tư cổ phiếu,156.440.987.205,(143.834.592),156.606.867.205,,156440987205.0,-143834592.0,156606867205.0,
Công ty Cổ phần Đầu tư và Phát triểnNăng lượng Vinaconex(ii),Công ty Cổ phần Đầu tư và Phát triểnNăng lượng Vinaconex(ii),Công ty Cổ phần Đầu tư và Phát triểnNăng lượng Vinaconex(ii),55.396.800.278,,55.297.680.278,,55396800278.0,,55297680278.0,
Công ty Cổ phần Thủy điện Đakdrinh(ii),Công ty Cổ phần Thủy điện Đakdrinh(ii),Công ty Cổ phần Thủy điện Đakdrinh(ii),13.082.914.986,,13.082.914.986,,13082914986.0,,13082914986.0,
Công ty Cổ phần Thủy điện Sơn Trà,Công ty Cổ phần Thủy điện Sơn Trà,Công ty Cổ phần Thủy điện Sơn Trà,1.536.000.000,,1.536.000.000,,1536000000.0,,1536000000.0,
Công ty Cổ phần Đầu tư và Phát triểnDung Quất,Công ty Cổ phần Đầu tư và Phát triểnDung Quất,Công ty Cổ phần Đầu tư và Phát triểnDung Quất,538.200.000,,538.200.000,,538200000.0,,538200000.0,
Công ty Cổ phần Sông Đà Đất Vàng,Công ty Cổ phần Sông Đà Đất Vàng,Công ty Cổ phần Sông Đà Đất Vàng,5.000.000.000,,5.000.000.000,,5000000000.0,,5000000000.0,
Công ty Cổ phần Tư vấn Sông Đà Sao,Công ty Cổ phần Tư vấn Sông Đà Sao,Công ty Cổ phần Tư vấn Sông Đà Sao,300.000.000,,300.000.000,,300000000.0,,300000000.0,
Công ty Cổ phần Sông Đà Nha Trang,Công ty Cổ phần Sông Đà Nha Trang,Công ty Cổ phần Sông Đà Nha Trang,5.930.749.831,,5.930.749.831,,5930749831.0,,5930749831.0,
Công ty Cổ phần Công nghiệp Cao su Coeco,Công ty Cổ phần Công nghiệp Cao su Coeco,Công ty Cổ phần Công nghiệp Cao su Coeco,4.573.200.000,,4.573.200.000,,4573200000.0,,4573200000.0,
Công ty Cổ phần Khai thác và Chế biến Khoáng sản Sông Đà,Công ty Cổ phần Khai thác và Chế biến Khoáng sản Sông Đà,Công ty Cổ phần Khai thác và Chế biến Khoáng sản Sông Đà,25.724.000.000,,25.724.000.000,,25724000000.0,,25724000000.0,
Công ty Cổ phần Kỹ thuật điện Sông Đà,Công ty Cổ phần Kỹ thuật điện Sông Đà,Công ty Cổ phần Kỹ thuật điện Sông Đà,165.300.000,(143.834.592),165.300.000,,165300000.0,-143834592.0,165300000.0,
Công ty Cổ phần Thủy điện Sử Pán 2,Công ty Cổ phần Thủy điện Sử Pán 2,Công ty Cổ phần Thủy điện Sử Pán 2,35.258.322.110,,35.258.322.110,,35258322110.0,,35258322110.0,
Công ty Cổ phần Thủy điện Hồ Bốn,Công ty Cổ phần Thủy điện Hồ Bốn,Công ty Cổ phần Thủy điện Hồ Bốn,2.000.000.000,,2.000.000.000,,2000000000.0,,2000000000.0,
Công ty Cổ phần Thủy điện Hương Sơn(ii),Công ty Cổ phần Thủy điện Hương Sơn(ii),Công ty Cổ phần Thủy điện Hương Sơn(ii),6.935.500.000,,7.200.500.000,,6935500000.0,,7200500000.0,
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,110.000.000,,110.000.000,,110000000.0,,110000000.0,
Tập đoàn Hà Thành,Tập đoàn Hà Thành,Tập đoàn Hà Thành,110.000.000,,110.000.000,,110000000.0,,110000000.0,
Cộng,Cộng,Cộng,6.226.530.760.529,(179.962.834.592),6.226.696.640.529,,6226530760529.0,-179962834592.0,6226696640529.0,
